seedResourceAcquisitionFitness,trials,seedSurvivalChance,error
0.9,200,0.0,0.0
0.95,200,0.0,0.0
1.0,200,0.0,0.0
1.05,200,0.1,0.05464159103155348
1.1,200,0.195,0.07216345660877481
1.15,200,0.26,0.07989224324164645
1.2,200,0.32,0.08496333033674636
1.25,200,0.385,0.08862780722512537
1.3,200,0.4,0.08922934450742903
1.35,200,0.47,0.09090524581437487
1.4,200,0.545,0.09069973772393819
1.45,200,0.53,0.09090524581437487
1.5,200,0.595,0.08941040790733168
1.55,200,0.6,0.08922934450742903
1.6,200,0.6,0.08922934450742903
1.65,200,0.69,0.08423788883152394
1.7,200,0.675,0.08530915665533878
1.75,200,0.725,0.08132750180070103
1.8,200,0.72,0.08178004508331715
1.85,200,0.72,0.08178004508331715
1.9,200,0.725,0.08132750180070103
1.95,200,0.82,0.06997537918120667
2.0,200,0.82,0.06997537918120667
2.05,200,0.83,0.06841724601312504
2.1,200,0.855,0.06413116660842855
2.15,200,0.835,0.06760631920189475
2.2,200,0.865,0.0622410656473783
2.25,200,0.865,0.0622410656473783
2.3,200,0.845,0.06591682570932678
2.35,200,0.855,0.06413116660842855
2.4,200,0.875,0.06023669212932825
2.45,200,0.845,0.06591682570932678
2.5,200,0.88,0.05918805120410031
2.55,200,0.925,0.04797374030111923
2.6,200,0.92,0.049412973490529866
2.65,200,0.935,0.044901884199166076
2.7,200,0.96,0.035691737802971635
2.75,200,0.91,0.052124755712791404
2.8,200,0.92,0.049412973490529866
2.85,200,0.93,0.04647212975141557
2.9,200,0.915,0.05079513181124862
2.95,200,0.95,0.039696195570136705
3.0,200,0.95,0.039696195570136705
3.05,200,0.96,0.035691737802971635
3.1,200,0.96,0.035691737802971635
3.15,200,0.96,0.035691737802971635
3.2,200,0.94,0.04325552960591261
3.25,200,0.95,0.039696195570136705
3.3,200,0.95,0.039696195570136705
3.35,200,0.97,0.031070523900452507
3.4,200,0.955,0.037758090618361995
3.45,200,0.965,0.033473394860657035
3.5,200,0.97,0.031070523900452507
3.55,200,0.975,0.02843638555177963
3.6,200,0.965,0.033473394860657035
3.65,200,0.965,0.033473394860657035
3.7,200,0.97,0.031070523900452507
3.75,200,0.96,0.035691737802971635
3.8,200,0.965,0.033473394860657035
3.85,200,0.975,0.02843638555177963
3.9,200,0.97,0.031070523900452507
3.95,200,0.98,0.025499409148058372
4.0,200,0.97,0.031070523900452507
