seedResourceAcquisitionFitness,turn,seedPopulation,error
0.9,0,1.0,0.0
0.9,1,0.905,0.15731285694352515
0.9,2,0.72,0.21175134292301756
0.9,3,0.595,0.21404002351891188
0.9,4,0.575,0.2597871029583891
0.9,5,0.5,0.2713804566864303
0.9,6,0.39,0.22217181023545113
0.9,7,0.38,0.2242303423770716
0.9,8,0.325,0.24432219579340866
0.9,9,0.28,0.23336501730375553
0.9,10,0.24,0.21181400051957242
0.9,11,0.17,0.1588996507711273
0.9,12,0.185,0.1970782974868188
0.9,13,0.17,0.21559398910557342
0.9,14,0.155,0.2340304298149174
0.9,15,0.145,0.2764655122826159
0.9,16,0.135,0.2979943401240916
0.9,17,0.135,0.3220700919028193
0.9,18,0.125,0.32117270757958505
0.9,19,0.12,0.30832579927640164
0.9,20,0.115,0.2954788909732183
0.9,21,0.075,0.19270362454775103
0.9,22,0.06,0.15416289963820082
0.9,23,0.06,0.15416289963820082
0.9,24,0.04,0.10277526642546725
0.9,25,0.025,0.06423454151591702
0.9,26,0.035,0.08992835812228382
0.9,27,0.035,0.08992835812228382
0.9,28,0.025,0.06423454151591702
0.9,29,0.015,0.038540724909550204
0.9,30,0.005,0.012846908303183406
0.9,31,0.005,0.012846908303183406
0.9,32,0.0,0.0
0.9,33,0.0,0.0
0.9,34,0.0,0.0
0.9,35,0.0,0.0
0.9,36,0.0,0.0
0.9,37,0.0,0.0
0.9,38,0.0,0.0
0.9,39,0.0,0.0
0.9,40,0.0,0.0
0.9,41,0.0,0.0
0.9,42,0.0,0.0
0.9,43,0.0,0.0
0.9,44,0.0,0.0
0.9,45,0.0,0.0
0.9,46,0.0,0.0
0.9,47,0.0,0.0
0.9,48,0.0,0.0
0.9,49,0.0,0.0
0.95,0,1.0,0.0
0.95,1,1.015,0.17609848764568659
0.95,2,0.92,0.23136625894248097
0.95,3,0.84,0.30228429663028167
0.95,4,0.72,0.28865382643509924
0.95,5,0.655,0.27478044682536323
0.95,6,0.66,0.30987130168826377
0.95,7,0.6,0.31389204278726945
0.95,8,0.595,0.30537295617863414
0.95,9,0.62,0.3477655751270023
0.95,10,0.5,0.3283550970619989
0.95,11,0.46,0.29133073528253645
0.95,12,0.455,0.27790172196985713
0.95,13,0.425,0.2667180758667742
0.95,14,0.39,0.2861316246210846
0.95,15,0.405,0.32228632755193315
0.95,16,0.36,0.3047980023023429
0.95,17,0.31,0.2532906091499932
0.95,18,0.275,0.23391700003750648
0.95,19,0.27,0.253500080925413
0.95,20,0.335,0.3666724905975614
0.95,21,0.34,0.4017137726417131
0.95,22,0.29,0.3012674360990077
0.95,23,0.285,0.3177666785691456
0.95,24,0.28,0.319735025964524
0.95,25,0.21,0.24813005261188403
0.95,26,0.23,0.2625008926649694
0.95,27,0.29,0.3136753084717445
0.95,28,0.265,0.31989969648637684
0.95,29,0.205,0.2369885447982021
0.95,30,0.23,0.29521633474913633
0.95,31,0.25,0.3190027062865813
0.95,32,0.24,0.33842515439433307
0.95,33,0.24,0.3389149302655155
0.95,34,0.23,0.3226014113969718
0.95,35,0.235,0.33285929306296697
0.95,36,0.215,0.29643168053001656
0.95,37,0.125,0.18116844130029053
0.95,38,0.105,0.15604243385589933
0.95,39,0.055,0.08385798134350335
0.95,40,0.05,0.0788683432275421
0.95,41,0.045,0.0735296631826718
0.95,42,0.025,0.038368185823043306
0.95,43,0.035,0.06906273448147796
0.95,44,0.025,0.05290649301887079
0.95,45,0.035,0.07808098753386362
0.95,46,0.02,0.051387633212733624
0.95,47,0.01,0.025693816606366812
0.95,48,0.025,0.06423454151591702
0.95,49,0.01,0.025693816606366812
1.0,0,1.0,0.0
1.0,1,0.985,0.1870604589743935
1.0,2,1.085,0.2625435419619653
1.0,3,1.12,0.3543801953610408
1.0,4,1.12,0.4478388710860963
1.0,5,1.035,0.4576638738589309
1.0,6,1.06,0.544481817811054
1.0,7,1.035,0.5382736017193489
1.0,8,1.065,0.5868363006983548
1.0,9,1.24,0.7026492196503106
1.0,10,1.24,0.7580644196950872
1.0,11,1.28,0.8006148205169933
1.0,12,1.19,0.8162554742396829
1.0,13,1.29,0.881556646750119
1.0,14,1.29,0.9003601219870143
1.0,15,1.105,0.7747633613770813
1.0,16,1.05,0.7325846018140865
1.0,17,1.115,0.8164154875306536
1.0,18,1.12,0.8781575952774613
1.0,19,1.105,0.9248621737543274
1.0,20,1.09,0.9669125930515119
1.0,21,1.3,1.1338038703620041
1.0,22,1.19,1.0069466624999366
1.0,23,1.24,1.0426923931997096
1.0,24,1.26,1.072491932159044
1.0,25,1.415,1.2324041103323595
1.0,26,1.37,1.1360414736249473
1.0,27,1.32,1.116965839702731
1.0,28,1.34,1.0947183628082857
1.0,29,1.375,1.1462349956991138
1.0,30,1.26,1.0697044159978588
1.0,31,1.305,1.1595806637750061
1.0,32,1.445,1.2418459494221858
1.0,33,1.465,1.3386728252990527
1.0,34,1.505,1.4376263290076572
1.0,35,1.495,1.3993887602911979
1.0,36,1.505,1.4685613064492302
1.0,37,1.51,1.5428110182935753
1.0,38,1.46,1.4577737486092572
1.0,39,1.43,1.4639811446849915
1.0,40,1.42,1.3817781750638098
1.0,41,1.38,1.273481254826475
1.0,42,1.265,1.16347639201003
1.0,43,1.33,1.2553184594651048
1.0,44,1.475,1.3417743694955675
1.0,45,1.47,1.373778177554797
1.0,46,1.5,1.4350860270231136
1.0,47,1.515,1.5251843442873916
1.0,48,1.345,1.2786855516613858
1.0,49,1.39,1.278840234641301
1.05,0,1.0,0.0
1.05,1,0.965,0.19308198942175592
1.05,2,0.84,0.24056094478137346
1.05,3,0.96,0.3195689729665858
1.05,4,1.055,0.4333971543663333
1.05,5,1.02,0.4352160706660011
1.05,6,1.115,0.47745950922817815
1.05,7,1.09,0.4955342629480777
1.05,8,1.215,0.5551128789496368
1.05,9,1.29,0.5903624319037788
1.05,10,1.285,0.6239085825048718
1.05,11,1.35,0.681196066513835
1.05,12,1.36,0.7084794969937075
1.05,13,1.415,0.7410328959802287
1.05,14,1.53,0.8710169741698902
1.05,15,1.625,1.0153207992215036
1.05,16,1.62,1.0205551423784547
1.05,17,1.72,1.1798535443295743
1.05,18,1.655,1.1280246631974733
1.05,19,1.64,1.098741419237944
1.05,20,1.805,1.195847653147771
1.05,21,2.02,1.368946045381351
1.05,22,2.26,1.4931191769923589
1.05,23,2.16,1.4229492842427118
1.05,24,2.425,1.5864304016030748
1.05,25,2.435,1.5808938570992026
1.05,26,2.44,1.5455662693844188
1.05,27,2.65,1.6878808205175497
1.05,28,2.805,1.8136012894639153
1.05,29,3.025,1.8845353655635522
1.05,30,3.345,2.151210554994141
1.05,31,3.12,1.8900830952883128
1.05,32,3.565,2.1523653011216206
1.05,33,3.63,2.1573481549540503
