seedResourceAcquisitionFitness,turn,seedPopulation,error
0.9,0,1.0,0.0
0.9,1,0.86,0.16192934066201792
0.9,2,0.69,0.2248434892352481
0.9,3,0.58,0.22408234530307947
0.9,4,0.52,0.23036037639960494
0.9,5,0.435,0.2242432874738164
0.9,6,0.37,0.19302399297246603
0.9,7,0.365,0.2312353829878871
0.9,8,0.295,0.20590327806630573
0.9,9,0.32,0.24352146890967868
0.9,10,0.26,0.2125956623408777
0.9,11,0.17,0.1435432735953565
0.9,12,0.19,0.18430234168053344
0.9,13,0.145,0.13184308754197338
0.9,14,0.14,0.15672392037267485
0.9,15,0.145,0.13556487090228658
0.9,16,0.165,0.16571363151398158
0.9,17,0.15,0.18007791962784106
0.9,18,0.11,0.13107656063669215
0.9,19,0.115,0.14591282956135812
0.9,20,0.095,0.11887598747476319
0.9,21,0.075,0.10453155188653239
0.9,22,0.05,0.07454344976827453
0.9,23,0.04,0.06267263188828563
0.9,24,0.02,0.031336315944142816
0.9,25,0.02,0.04056420043650881
0.9,26,0.03,0.07708144981910041
0.9,27,0.03,0.07708144981910041
0.9,28,0.02,0.051387633212733624
0.9,29,0.015,0.038540724909550204
0.9,30,0.015,0.038540724909550204
0.9,31,0.02,0.051387633212733624
0.9,32,0.02,0.051387633212733624
0.9,33,0.0,0.0
0.9,34,0.0,0.0
0.9,35,0.0,0.0
0.9,36,0.0,0.0
0.9,37,0.0,0.0
0.9,38,0.0,0.0
0.9,39,0.0,0.0
0.9,40,0.0,0.0
0.9,41,0.0,0.0
0.9,42,0.0,0.0
0.9,43,0.0,0.0
0.9,44,0.0,0.0
0.9,45,0.0,0.0
0.9,46,0.0,0.0
0.9,47,0.0,0.0
0.9,48,0.0,0.0
0.9,49,0.0,0.0
0.9,50,0.0,0.0
0.95,0,1.0,0.0
0.95,1,0.905,0.17621148297061728
0.95,2,0.885,0.24785414716477971
0.95,3,0.87,0.28988667251226674
0.95,4,0.73,0.2889697063225702
0.95,5,0.77,0.34592438140107745
0.95,6,0.745,0.36609299635277565
0.95,7,0.645,0.36056895253881127
0.95,8,0.685,0.39342683365925707
0.95,9,0.695,0.448074928761727
0.95,10,0.645,0.44049599514046694
0.95,11,0.75,0.532190894939112
0.95,12,0.83,0.6375138498447347
0.95,13,0.74,0.615035547767299
0.95,14,0.82,0.6951781056860056
0.95,15,0.855,0.7534900615053327
0.95,16,0.88,0.7911109445464201
0.95,17,0.825,0.7552579037791797
0.95,18,0.83,0.8096692387093641
0.95,19,0.79,0.7824736039598632
0.95,20,0.795,0.7517048221635249
0.95,21,0.785,0.7380273519336261
0.95,22,0.715,0.6354987740707964
0.95,23,0.7,0.6503650192892467
0.95,24,0.67,0.587128069806203
0.95,25,0.635,0.5501001451680424
0.95,26,0.52,0.4700306234925596
0.95,27,0.5,0.4937939348427941
0.95,28,0.42,0.41906138361322376
0.95,29,0.45,0.45598363154229804
0.95,30,0.305,0.31975447965534703
0.95,31,0.215,0.24155010111218211
0.95,32,0.235,0.2959276446613324
0.95,33,0.17,0.26837496167188507
0.95,34,0.185,0.31181235612029506
0.95,35,0.175,0.31093871407080526
0.95,36,0.215,0.4060006672330673
0.95,37,0.165,0.30137065253488815
0.95,38,0.2,0.3820572276799206
0.95,39,0.155,0.27144004382600856
0.95,40,0.1,0.1689084230711755
0.95,41,0.11,0.1925766199501073
0.95,42,0.085,0.18375026378354353
0.95,43,0.1,0.202821002182544
0.95,44,0.095,0.19067879801257695
0.95,45,0.11,0.2273379138499664
0.95,46,0.075,0.1587194790566124
0.95,47,0.05,0.10581298603774159
0.95,48,0.045,0.10351100737880069
0.95,49,0.075,0.19270362454775103
0.95,50,0.03,0.07708144981910041
1.0,0,1.0,0.0
1.0,1,1.06,0.19071576538607993
1.0,2,1.135,0.30241459188736464
1.0,3,1.045,0.3145769435959289
1.0,4,0.885,0.2937899598703295
1.0,5,0.8,0.3222361429231395
1.0,6,0.87,0.3958363306739497
1.0,7,0.82,0.39977667431379615
1.0,8,0.775,0.42537756257350406
1.0,9,0.885,0.49786772616376374
1.0,10,0.865,0.4983672240432279
1.0,11,0.785,0.4866468636647893
1.0,12,0.79,0.5371051915259261
1.0,13,0.755,0.5140368933973463
1.0,14,0.875,0.5822563715927082
1.0,15,0.885,0.7061666689061996
1.0,16,0.83,0.7129302711833259
1.0,17,0.76,0.6388472115631537
1.0,18,0.79,0.635032044830628
1.0,19,0.705,0.5807902494307591
1.0,20,0.815,0.6957308511693487
1.0,21,0.945,1.0418899191042235
1.0,22,0.915,1.0946179757886971
1.0,23,0.86,1.0093570443009794
1.0,24,1.065,1.131618643457867
1.0,25,0.955,0.9376686481493614
1.0,26,0.915,0.8942946785195699
1.0,27,0.895,0.9487652989535783
1.0,28,0.835,0.8542627305973539
1.0,29,0.865,0.8029974856197063
1.0,30,0.92,0.9392704249813196
1.0,31,0.905,0.9257943149306141
1.0,32,0.865,0.9202377754758094
1.0,33,0.855,0.934496795748566
1.0,34,0.76,0.7885235762327591
1.0,35,0.81,0.8444222997194291
1.0,36,0.795,0.7706633116208003
1.0,37,0.94,0.9664750453503537
1.0,38,0.95,0.9925720170567662
1.0,39,0.875,0.8881826793005728
1.0,40,0.885,0.9401207964742402
1.0,41,0.865,0.8953883328063428
1.0,42,0.91,0.941004773061216
1.0,43,0.885,0.9226679351848939
1.0,44,0.75,0.7911507808874606
1.0,45,0.845,0.9330223894285244
1.0,46,0.865,0.8940906289159755
1.0,47,0.86,0.9649979314726687
1.0,48,0.8,0.8388270289745674
1.0,49,0.83,0.8761815044095943
1.0,50,0.835,0.8933668047773912
1.05,0,1.0,0.0
1.05,1,1.19,0.20798126932576833
1.05,2,1.285,0.30389191569954455
1.05,3,1.37,0.3983426535807115
1.05,4,1.55,0.46925007293168464
1.05,5,1.575,0.5534849740510364
1.05,6,1.61,0.5861893700150047
1.05,7,1.63,0.6484007561470064
1.05,8,1.725,0.7729500015331405
1.05,9,1.785,0.8310548101206242
1.05,10,1.8,0.8765392326634652
1.05,11,1.805,0.9573456077195895
1.05,12,1.96,1.0654471968436172
1.05,13,2.075,1.148475820481711
1.05,14,2.175,1.2304051356712296
1.05,15,2.135,1.220420951648066
1.05,16,2.135,1.2148356930834217
1.05,17,2.1,1.1571180294533832
1.05,18,2.27,1.3301995028910674
1.05,19,2.265,1.268511266762733
1.05,20,2.37,1.3833318548460574
1.05,21,2.625,1.5396304586094598
1.05,22,2.655,1.5174015085303945
1.05,23,2.78,1.5906825258272776
1.05,24,2.81,1.6319855624770812
1.05,25,2.875,1.6970138878693304
1.05,26,3.195,1.8294461559647117
1.05,27,3.145,1.8007236982638428
1.05,28,3.415,1.9966646393207685
1.05,29,3.37,2.0283171542834517
1.05,30,3.095,1.862860472464336
1.05,31,3.505,2.107620090296548
1.05,32,3.39,2.0981382767499532
1.05,33,3.41,2.0773540335777887
1.05,34,3.48,2.139641415029966
1.05,35,3.715,2.3139764023640046
1.05,36,3.65,2.359503931276527
1.05,37,3.625,2.2585512270542494
1.05,38,3.505,2.1862704960762764
1.05,39,3.79,2.390085763753875
1.05,40,3.9,2.433579402047842
1.05,41,3.785,2.355079865924296
1.05,42,4.195,2.536812489197701
1.05,43,4.395,2.8024441301806053
1.05,44,4.66,2.895227553859173
1.05,45,4.325,2.6505357065958255
1.05,46,4.545,2.787363761956404
1.05,47,4.56,2.818482263961205
1.05,48,5.045,3.0761645317608406
1.05,49,4.915,2.990557650359187
1.05,50,5.255,3.2330504598423366
1.1,0,1.0,0.0
1.1,1,1.095,0.19067879801257692
1.1,2,1.26,0.2960747437602409
1.1,3,1.49,0.4329347659065379
1.1,4,1.585,0.5032031046399639
1.1,5,1.655,0.5973473946045516
1.1,6,1.835,0.6850876741684706
1.1,7,2.035,0.8138107362619769
1.1,8,2.255,0.9324711095802136
1.1,9,2.475,1.1044478285758326
1.1,10,2.65,1.1869445467330566
