lambda,maxPopulation,trials,seedSurvivalChance,error
0.9,100,1000,0.0,0.0
0.9,500,1000,0.0,0.0
0.9,1000,1000,0.0,0.0
0.95,100,1000,0.0,0.0
0.95,500,1000,0.0,0.0
0.95,1000,1000,0.0,0.0
1.0,100,1000,0.014,0.009570167850173623
1.0,500,1000,0.002,0.0036391281394914285
1.0,1000,1000,0.0,0.0
1.05,100,1000,0.087,0.022956839327653883
1.05,500,1000,0.089,0.023193766005420488
1.05,1000,1000,0.091,0.023427163975604764
1.1,100,1000,0.188,0.03182541084613827
1.1,500,1000,0.184,0.03156247638040666
1.1,1000,1000,0.161,0.029937187542742633
1.15,100,1000,0.248,0.0351764363815332
1.15,500,1000,0.239,0.034738283764416705
1.15,1000,1000,0.234,0.034485727574656816
1.2,100,1000,0.302,0.03739799010520306
1.2,500,1000,0.308,0.037604990652242654
1.2,1000,1000,0.316,0.03786942158168155
1.25,100,1000,0.352,0.03890235693510785
1.25,500,1000,0.352,0.03890235693510785
1.25,1000,1000,0.359,0.0390744900277713
1.3,100,1000,0.452,0.04053933088355738
1.3,500,1000,0.393,0.039783931669333694
1.3,1000,1000,0.431,0.04033776651647736
1.35,100,1000,0.475,0.04067649616030938
1.35,500,1000,0.48,0.040694842322030134
1.35,1000,1000,0.457,0.04057654773930397
1.4,100,1000,0.488,0.04071570612361719
1.4,500,1000,0.486,0.040711469029273584
1.4,1000,1000,0.511,0.04071758008239906
1.45,100,1000,0.529,0.040658876056942905
1.45,500,1000,0.558,0.04045249507866566
1.45,1000,1000,0.561,0.04042320744328565
1.5,100,1000,0.597,0.03995367828043239
1.5,500,1000,0.57,0.04032633329364699
1.5,1000,1000,0.588,0.04009168880175784
1.55,100,1000,0.604,0.03983668044175692
1.55,500,1000,0.601,0.03988786243994891
1.55,1000,1000,0.628,0.03937026802479471
1.6,100,1000,0.622,0.039496459958402674
1.6,500,1000,0.621,0.0395168651226252
1.6,1000,1000,0.645,0.03897724270928915
1.65,100,1000,0.668,0.03835962497976331
1.65,500,1000,0.655,0.03872106351090798
1.65,1000,1000,0.661,0.03855828050445498
1.7,100,1000,0.702,0.03725578920580308
1.7,500,1000,0.674,0.038181749838931967
1.7,1000,1000,0.697,0.037433012810436095
1.75,100,1000,0.724,0.036411695626576646
1.75,500,1000,0.717,0.03669187245439809
1.75,1000,1000,0.728,0.03624659550009923
1.8,100,1000,0.701,0.0372916571457671
1.8,500,1000,0.738,0.035817552501351324
1.8,1000,1000,0.737,0.035861520367554744
1.85,100,1000,0.736,0.03590524960454711
1.85,500,1000,0.766,0.034485727574656844
1.85,1000,1000,0.758,0.03488665780645839
1.9,100,1000,0.783,0.03357591274077465
1.9,500,1000,0.77,0.03427885919981666
1.9,1000,1000,0.772,0.03417379054370984
1.95,100,1000,0.793,0.0330018925510982
1.95,500,1000,0.787,0.03334987784274157
1.95,1000,1000,0.779,0.033797295216262624
2.0,100,1000,0.798,0.032703498169128875
2.0,500,1000,0.753,0.03512877814158266
2.0,1000,1000,0.809,0.03201901915882488
2.05,100,1000,0.804,0.032335020426394134
2.05,500,1000,0.818,0.031428917677413515
2.05,1000,1000,0.82,0.031293940920100405
2.1,100,1000,0.827,0.030810084251827408
2.1,500,1000,0.821,0.031225915032060736
2.1,1000,1000,0.798,0.032703498169128875
2.15,100,1000,0.826,0.030880315398084446
2.15,500,1000,0.844,0.02955633647928746
2.15,1000,1000,0.845,0.029478900629412164
2.2,100,1000,0.831,0.03052537049326054
2.2,500,1000,0.86,0.028263785145711706
2.2,1000,1000,0.843,0.029633346082441614
2.25,100,1000,0.839,0.02993718754274266
2.25,500,1000,0.846,0.029401035164896006
2.25,1000,1000,0.846,0.029401035164896006
2.3,100,1000,0.869,0.027482903670530412
2.3,500,1000,0.884,0.026083880789773528
2.3,1000,1000,0.869,0.027482903670530412
2.35,100,1000,0.869,0.027482903670530412
2.35,500,1000,0.888,0.025688134933294915
2.35,1000,1000,0.866,0.027747791644902264
2.4,100,1000,0.891,0.02538453314509803
2.4,500,1000,0.884,0.026083880789773528
2.4,1000,1000,0.896,0.024864959377999374
2.45,100,1000,0.891,0.02538453314509803
2.45,500,1000,0.867,0.02766001738901036
2.45,1000,1000,0.904,0.023995892703190358
2.5,100,1000,0.885,0.025985892356602536
2.5,500,1000,0.905,0.023883786033055965
2.5,1000,1000,0.884,0.026083880789773528
2.55,100,1000,0.894,0.025074874705552808
2.55,500,1000,0.896,0.024864959377999374
2.55,1000,1000,0.904,0.023995892703190358
2.6,100,1000,0.91,0.023310899416874475
2.6,500,1000,0.907,0.023657137679625184
2.6,1000,1000,0.914,0.022837018466224324
2.65,100,1000,0.913,0.02295683932765391
2.65,500,1000,0.927,0.021189386208375738
2.65,1000,1000,0.923,0.021715172951905726
2.7,100,1000,0.915,0.022716273531202757
2.7,500,1000,0.916,0.02259458970791406
2.7,1000,1000,0.912,0.023075750510255566
2.75,100,1000,0.931,0.020645075024155357
2.75,500,1000,0.918,0.0223483439327945
2.75,1000,1000,0.915,0.022716273531202757
2.8,100,1000,0.91,0.023310899416874475
2.8,500,1000,0.945,0.018570103684096062
2.8,1000,1000,0.932,0.02050593101973963
2.85,100,1000,0.912,0.023075750510255566
2.85,500,1000,0.937,0.019790517457986878
2.85,1000,1000,0.922,0.021843882987212737
2.9,100,1000,0.946,0.018410243289173733
2.9,500,1000,0.94,0.019344460920315054
2.9,1000,1000,0.918,0.0223483439327945
2.95,100,1000,0.943,0.018884711467255455
2.95,500,1000,0.921,0.021971537083092407
2.95,1000,1000,0.93,0.02078296823667114
3.0,100,1000,0.944,0.018728245350709827
3.0,500,1000,0.94,0.019344460920315054
3.0,1000,1000,0.95,0.01775267834859029
3.05,100,1000,0.951,0.017583502117353822
3.05,500,1000,0.953,0.017239015449158956
3.05,1000,1000,0.943,0.018884711467255455
3.1,100,1000,0.94,0.019344460920315054
3.1,500,1000,0.933,0.02036551058594993
3.1,1000,1000,0.96,0.015961830392508647
3.15,100,1000,0.96,0.015961830392508647
3.15,500,1000,0.962,0.015573865292435651
3.15,1000,1000,0.947,0.01824861899711472
3.2,100,1000,0.966,0.014761996611703299
3.2,500,1000,0.94,0.019344460920315054
3.2,1000,1000,0.951,0.017583502117353822
3.25,100,1000,0.957,0.01652369904194051
3.25,500,1000,0.958,0.01633896262431278
3.25,1000,1000,0.966,0.014761996611703299
3.3,100,1000,0.957,0.01652369904194051
3.3,500,1000,0.964,0.015174236443453726
3.3,1000,1000,0.962,0.015573865292435651
3.35,100,1000,0.956,0.016705995649028416
3.35,500,1000,0.961,0.015769251399786688
3.35,1000,1000,0.958,0.01633896262431278
3.4,100,1000,0.961,0.015769251399786688
3.4,500,1000,0.968,0.01433605793491477
3.4,1000,1000,0.956,0.016705995649028416
3.45,100,1000,0.963,0.015375565055990248
3.45,500,1000,0.962,0.015573865292435651
3.45,1000,1000,0.962,0.015573865292435651
3.5,100,1000,0.965,0.014969757269224226
3.5,500,1000,0.973,0.013202475851348039
3.5,1000,1000,0.971,0.013668652215494959
3.55,100,1000,0.969,0.01411756561869204
3.55,500,1000,0.969,0.01411756561869204
3.55,1000,1000,0.964,0.015174236443453726
3.6,100,1000,0.977,0.012210354684510483
3.6,500,1000,0.966,0.014761996611703299
3.6,1000,1000,0.961,0.015769251399786688
3.65,100,1000,0.979,0.011679333851739804
3.65,500,1000,0.966,0.014761996611703299
3.65,1000,1000,0.969,0.01411756561869204
3.7,100,1000,0.975,0.012717138225634472
3.7,500,1000,0.98,0.011403682448227648
3.7,1000,1000,0.963,0.015375565055990248
3.75,100,1000,0.985,0.009901040212022538
3.75,500,1000,0.976,0.012466588064996786
3.75,1000,1000,0.967,0.014550813909716132
3.8,100,1000,0.978,0.01194807244987961
3.8,500,1000,0.978,0.01194807244987961
3.8,1000,1000,0.971,0.013668652215494959
3.85,100,1000,0.985,0.009901040212022538
3.85,500,1000,0.983,0.010529755794873252
3.85,1000,1000,0.983,0.010529755794873252
3.9,100,1000,0.974,0.012962334725050928
3.9,500,1000,0.978,0.01194807244987961
3.9,1000,1000,0.973,0.013202475851348039
3.95,100,1000,0.987,0.00922671980108336
3.95,500,1000,0.98,0.011403682448227648
3.95,1000,1000,0.968,0.01433605793491477
4.0,100,1000,0.983,0.010529755794873252
4.0,500,1000,0.983,0.010529755794873252
4.0,1000,1000,0.971,0.013668652215494959
