lambda,trials,seedSurvivalChance,error
0.9,1000,0.0,0.0
0.95,1000,0.0,0.0
1.0,1000,0.007,0.006791109355156817
1.05,1000,0.091,0.023427163975604764
1.1,1000,0.159,0.029786099754616352
1.15,1000,0.247,0.03512877814158266
1.2,1000,0.311,0.037705689342196425
1.25,1000,0.376,0.03945511348504782
1.3,1000,0.42,0.04020274632420984
1.35,1000,0.47,0.040654061830454113
1.4,1000,0.497,0.040726704214629206
1.45,1000,0.57,0.04032633329364699
1.5,1000,0.583,0.040162374775041254
1.55,1000,0.618,0.039577011635325454
1.6,1000,0.624,0.03945511348504782
1.65,1000,0.665,0.038445924235118834
1.7,1000,0.704,0.037183414223376565
1.75,1000,0.686,0.03780454030201097
1.8,1000,0.731,0.03612034652004614
1.85,1000,0.751,0.03522384177647808
1.9,1000,0.768,0.03438283491487515
1.95,1000,0.776,0.03396033372592078
2.0,1000,0.821,0.031225915032060736
2.05,1000,0.786,0.03340682786315052
2.1,1000,0.824,0.031019659003066136
2.15,1000,0.84,0.0298618502972815
2.2,1000,0.847,0.029322736663260796
2.25,1000,0.862,0.028093785079107425
2.3,1000,0.871,0.027303669115965712
2.35,1000,0.876,0.026846024070415475
2.4,1000,0.859,0.028348051809940822
2.45,1000,0.877,0.026752811651278074
2.5,1000,0.894,0.025074874705552808
2.55,1000,0.884,0.026083880789773528
2.6,1000,0.897,0.024758932365208097
2.65,1000,0.914,0.022837018466224324
2.7,1000,0.928,0.021055100362948442
2.75,1000,0.914,0.022837018466224324
2.8,1000,0.927,0.021189386208375738
2.85,1000,0.927,0.021189386208375738
2.9,1000,0.936,0.019936319770398336
2.95,1000,0.945,0.018570103684096062
3.0,1000,0.938,0.019643295210554412
