lambda,trials,seedSurvivalChance,error
0.9,1000,0.0,0.0
1.0,1000,0.013,0.009226719801083328
1.1,1000,0.188,0.03182541084613827
1.2,1000,0.304,0.037467825696595625
1.3,1000,0.433,0.04036013007180872
1.4,1000,0.531,0.04064908381036064
1.5,1000,0.604,0.03983668044175692
1.6,1000,0.632,0.03928253698374262
1.7,1000,0.707,0.037073244608452405
1.8,1000,0.737,0.035861520367554744
1.9,1000,0.771,0.0342264621160252
2.0,1000,0.793,0.0330018925510982
2.1,1000,0.809,0.03201901915882488
2.2,1000,0.827,0.030810084251827408
2.3,1000,0.858,0.02843183536604732
2.4,1000,0.866,0.027747791644902264
2.5,1000,0.888,0.025688134933294915
2.6,1000,0.912,0.023075750510255566
2.7,1000,0.911,0.023193766005420446
2.8,1000,0.927,0.021189386208375738
2.9,1000,0.94,0.019344460920315054
3.0,1000,0.94,0.019344460920315054
3.1,1000,0.948,0.018085183517010273
3.2,1000,0.951,0.017583502117353822
3.3,1000,0.964,0.015174236443453726
3.4,1000,0.966,0.014761996611703299
3.5,1000,0.972,0.013437832633776625
3.6,1000,0.963,0.015375565055990248
3.7,1000,0.967,0.014550813909716132
3.8,1000,0.973,0.013202475851348039
3.9,1000,0.974,0.012962334725050928
4.0,1000,0.984,0.010220558306006433
