lambda,trials,seedSurvivalChance,error
0.9,10000,0.0,0.0
0.95,10000,0.0,0.0
1.0,10000,0.0103,0.0026006833488549912
1.05,10000,0.0901,0.007375242550560324
1.1,10000,0.1752,0.009791708063125182
1.15,10000,0.2569,0.011254410773282736
1.2,10000,0.3112,0.011925687995069267
1.25,10000,0.3691,0.012429949547874908
1.3,10000,0.4258,0.012736541124390321
1.35,10000,0.483,0.012871700218454463
1.4,10000,0.512,0.012875436789269556
1.45,10000,0.5531,0.012806312230498329
1.5,10000,0.592,0.012659251105117786
1.55,10000,0.6096,0.012565924998584
1.6,10000,0.6414,0.012353405575024068
1.65,10000,0.6642,0.012164852883045252
1.7,10000,0.6946,0.011863668021686147
1.75,10000,0.7096,0.011692898747512448
1.8,10000,0.7324,0.011403398516272811
1.85,10000,0.7475,0.011190599918409205
1.9,10000,0.7673,0.010884234005610671
1.95,10000,0.7845,0.010591005432179168
2.0,10000,0.8006,0.010291707850615728
2.05,10000,0.8088,0.01012935040225793
2.1,10000,0.8197,0.00990244435135812
2.15,10000,0.833,0.009607221768360819
2.2,10000,0.8362,0.00953298939518643
2.25,10000,0.8549,0.0090721128598652
2.3,10000,0.8605,0.008924412189396214
2.35,10000,0.871,0.008634178288604799
2.4,10000,0.8771,0.008457024262091717
2.45,10000,0.8864,0.008173745644658226
2.5,10000,0.8887,0.00810106751865558
2.55,10000,0.9024,0.007644367047791034
2.6,10000,0.9052,0.00754559551412326
2.65,10000,0.911,0.007334512809411442
2.7,10000,0.9117,0.007308418508204295
2.75,10000,0.9261,0.006738577707120386
2.8,10000,0.9255,0.0067636858436526115
2.85,10000,0.9295,0.0065938085773001864
2.9,10000,0.9368,0.006267568075297492
2.95,10000,0.938,0.006211755361642868
3.0,10000,0.9426,0.005991516276982245
3.05,10000,0.9458,0.005831984723268069
3.1,10000,0.9467,0.005786112489656214
3.15,10000,0.9535,0.00542380297182643
3.2,10000,0.9524,0.005484414233862034
3.25,10000,0.9524,0.005484414233862034
3.3,10000,0.9577,0.005184441841548204
3.35,10000,0.9593,0.005089692051499117
3.4,10000,0.9608,0.004998924876881361
3.45,10000,0.9664,0.0046415729330435695
3.5,10000,0.9646,0.0047598398360828575
3.55,10000,0.9674,0.00457434505127885
3.6,10000,0.9711,0.004315170677729574
3.65,10000,0.9702,0.004379815808146059
3.7,10000,0.9722,0.004234647706943928
3.75,10000,0.9727,0.0041974725147414516
3.8,10000,0.9774,0.0038283132499201677
3.85,10000,0.974,0.004099050152465367
3.9,10000,0.9779,0.0037866959877136397
3.95,10000,0.9807,0.0035437560830959836
4.0,10000,0.9795,0.0036500282878952905
