lambda,turn,seedPopulation,error
0.9,0,1.0,0.0
0.9,1,0.865,0.07618426132842882
0.9,2,0.793,0.10297362107752961
0.9,3,0.703,0.11766750831449457
0.9,4,0.625,0.12343504640972147
0.9,5,0.57,0.12117627518503798
0.9,6,0.499,0.120376939410062
0.9,7,0.449,0.11757183737473442
0.9,8,0.383,0.11950046417583726
0.9,9,0.347,0.1108083026482242
0.9,10,0.322,0.11234620582141736
0.9,11,0.285,0.10657133821630038
0.9,12,0.227,0.09566946978585875
0.9,13,0.195,0.0859329625028812
0.9,14,0.158,0.0739866782070944
0.9,15,0.154,0.08048318702208179
0.9,16,0.129,0.07999013846258934
0.9,17,0.127,0.08238108594321375
0.9,18,0.089,0.0566143022135284
0.9,19,0.084,0.05648905832886176
0.9,20,0.074,0.055873769232967496
0.9,21,0.077,0.06251739898348432
0.9,22,0.056,0.045415311261510244
0.9,23,0.038,0.03243459057043143
0.9,24,0.037,0.033150332712112325
0.9,25,0.031,0.03358855732449738
0.9,26,0.036,0.03878347069355595
0.9,27,0.034,0.03930516332707681
0.9,28,0.023,0.028036455468186134
0.9,29,0.021,0.029432048269407426
0.9,30,0.013,0.01563233433343249
0.9,31,0.012,0.01626162473218164
0.9,32,0.009,0.014322861725471446
0.9,33,0.009,0.014322861725471446
0.9,34,0.004,0.006301049219019872
0.9,35,0.002,0.005149082133514746
0.9,36,0.002,0.005149082133514746
0.9,37,0.0,0.0
0.9,38,0.0,0.0
0.9,39,0.0,0.0
0.9,40,0.0,0.0
0.9,41,0.0,0.0
0.9,42,0.0,0.0
0.9,43,0.0,0.0
0.9,44,0.0,0.0
0.9,45,0.0,0.0
0.9,46,0.0,0.0
0.9,47,0.0,0.0
0.9,48,0.0,0.0
0.9,49,0.0,0.0
0.95,0,1.0,0.0
0.95,1,1.024,0.08556345100032625
0.95,2,1.007,0.1118915759840462
0.95,3,0.987,0.13406272261386054
0.95,4,0.971,0.14966785183735076
0.95,5,0.896,0.15392997298519007
0.95,6,0.872,0.16956737324300086
0.95,7,0.811,0.17491529196574118
0.95,8,0.766,0.17646299516715458
0.95,9,0.726,0.1823011048303701
0.95,10,0.638,0.16619501380787832
0.95,11,0.629,0.1728563603755392
0.95,12,0.56,0.15761886572635853
0.95,13,0.505,0.1559169499243963
0.95,14,0.491,0.16015608896611866
0.95,15,0.444,0.16231534756983862
0.95,16,0.389,0.15190141729603068
0.95,17,0.378,0.17464646954032662
0.95,18,0.347,0.17791115201347663
0.95,19,0.323,0.15495001748342604
0.95,20,0.295,0.151031813343732
0.95,21,0.259,0.13299660488786122
0.95,22,0.251,0.1407543768973198
0.95,23,0.204,0.11299596833807657
0.95,24,0.182,0.09919036713378944
0.95,25,0.176,0.10661021112007876
0.95,26,0.161,0.10428384192148489
0.95,27,0.158,0.10901072731023599
0.95,28,0.13,0.10870793133934104
0.95,29,0.119,0.10414887289028586
0.95,30,0.108,0.1034937314010186
0.95,31,0.104,0.09538167570856926
0.95,32,0.099,0.08792596251741187
0.95,33,0.104,0.09724170132936702
0.95,34,0.092,0.0789539372858445
0.95,35,0.073,0.06265521452219937
0.95,36,0.065,0.05529190249336289
0.95,37,0.072,0.0676034240044765
0.95,38,0.08,0.08297209599148146
0.95,39,0.075,0.08207867040992999
0.95,40,0.057,0.06774729779594922
0.95,41,0.048,0.06575663902070361
0.95,42,0.065,0.08491548594676256
0.95,43,0.07,0.0899366579671769
