lambda,turn,seedPopulation,error
0.9,0,1.0,0.0
0.9,1,0.8883,0.024292448146304046
0.9,2,0.8043,0.03179455689266608
0.9,3,0.7067,0.03553594456060971
0.9,4,0.6498,0.03875026751671695
0.9,5,0.592,0.040496558847662345
0.9,6,0.5246,0.04072087836627025
0.9,7,0.4744,0.04108382850358783
0.9,8,0.4196,0.04025169785826166
0.9,9,0.3719,0.038652808959793894
0.9,10,0.3269,0.0377377576285598
0.9,11,0.2808,0.0351197238883334
0.9,12,0.2555,0.033924950528098435
0.9,13,0.2289,0.03260133838714385
0.9,14,0.1998,0.030297271303180023
0.9,15,0.1773,0.029459928883646014
0.9,16,0.1563,0.02826226287452821
0.9,17,0.1363,0.02605947945698145
0.9,18,0.1221,0.024709059174277168
0.9,19,0.1095,0.023161128193953565
0.9,20,0.0958,0.02186001118102064
0.9,21,0.0894,0.021627881991378592
0.9,22,0.0794,0.020076530469608556
0.9,23,0.0679,0.017973486266619543
0.9,24,0.0599,0.018131935413011648
0.9,25,0.0559,0.01762468149162833
0.9,26,0.0508,0.016879434386485537
0.9,27,0.0478,0.01633805217161246
0.9,28,0.0423,0.015140765619331892
0.9,29,0.0372,0.01446176555117306
0.9,30,0.032,0.013570880807541805
0.9,31,0.0282,0.012997216073943765
0.9,32,0.0249,0.011923613451122354
0.9,33,0.0238,0.012439777146267842
0.9,34,0.0206,0.011161863444741576
0.9,35,0.0196,0.010898401664211856
0.9,36,0.0171,0.009624354130889839
0.9,37,0.0137,0.007637336491257429
0.9,38,0.0136,0.0074394231320045814
0.9,39,0.0121,0.00746339995534561
0.9,40,0.0121,0.00838445653669333
0.9,41,0.0091,0.006678166705475366
0.9,42,0.0078,0.006451882201613154
0.9,43,0.007,0.006947628103323424
0.9,44,0.0067,0.006195665199885387
0.9,45,0.0049,0.004540770644112838
0.9,46,0.0029,0.0034646187235837273
0.9,47,0.0024,0.003820072096414475
0.9,48,0.0027,0.004643121483840025
0.9,49,0.0023,0.003863289724055884
0.95,0,1.0,0.0
0.95,1,0.9498,0.02514146580544785
0.95,2,0.9061,0.03383744505398101
0.95,3,0.8713,0.04009314767936001
0.95,4,0.8164,0.044147422707136896
0.95,5,0.7708,0.04745728600451293
0.95,6,0.7173,0.04910979653547409
0.95,7,0.6938,0.05332303596037935
0.95,8,0.6644,0.05564251968435141
0.95,9,0.6333,0.056988330642607776
0.95,10,0.5956,0.057912414626720476
0.95,11,0.5575,0.056302312583583425
0.95,12,0.5189,0.05527805777482475
0.95,13,0.4831,0.05498242888359428
0.95,14,0.4731,0.05622437923681933
0.95,15,0.443,0.05566980951416722
0.95,16,0.4148,0.05495724209135083
0.95,17,0.389,0.05375329931730577
0.95,18,0.3673,0.05330778602041586
0.95,19,0.3357,0.050696126116298146
0.95,20,0.3184,0.04960609515578768
0.95,21,0.3139,0.05132669880198676
0.95,22,0.3007,0.05127440085707019
0.95,23,0.282,0.05090816277939181
0.95,24,0.2675,0.050723198663438274
0.95,25,0.2472,0.04934506562818455
0.95,26,0.2318,0.04769715891022422
0.95,27,0.2223,0.04669348884293567
0.95,28,0.211,0.04558038217692903
0.95,29,0.2062,0.045801124697932294
0.95,30,0.188,0.04375162653908521
0.95,31,0.183,0.04384445108106769
0.95,32,0.1778,0.04428619328927058
0.95,33,0.1712,0.04572434805008599
0.95,34,0.1673,0.04640148060107192
0.95,35,0.1575,0.04445446890700408
0.95,36,0.1472,0.04324580491512811
0.95,37,0.1369,0.04167400780436836
0.95,38,0.1281,0.04041582385736778
0.95,39,0.1192,0.03845318353469482
0.95,40,0.1136,0.038780519873317376
0.95,41,0.1108,0.039128223698554274
