lambda,turn,seedPopulation,error
0.9,0,1.0,0.0
0.9,1,0.861,0.07895994556198105
0.9,2,0.757,0.10015806782686365
0.9,3,0.675,0.11255445658691121
0.9,4,0.614,0.1190190353799202
0.9,5,0.553,0.12095955634220296
0.9,6,0.484,0.12048010304404855
0.9,7,0.443,0.12198533103138642
0.9,8,0.387,0.11913679738308902
0.9,9,0.321,0.10861203490338939
0.9,10,0.283,0.10478627471616986
0.9,11,0.249,0.10241955326654154
0.9,12,0.226,0.09495430600370977
0.9,13,0.197,0.09041824969390266
0.9,14,0.18,0.08995509932519374
0.9,15,0.17,0.0897889907499849
0.9,16,0.168,0.0947042448243058
0.9,17,0.161,0.09579449961268037
0.9,18,0.158,0.10229110809883765
0.9,19,0.148,0.09631314758796618
0.9,20,0.133,0.08785469936110754
0.9,21,0.109,0.07654673899910598
0.9,22,0.083,0.07203627985620373
0.9,23,0.085,0.07015411909661834
0.9,24,0.062,0.05191149259927296
0.9,25,0.067,0.05797109721473155
0.9,26,0.049,0.04669283015837624
0.9,27,0.059,0.05710672239270387
0.9,28,0.041,0.03900651040082391
0.9,29,0.037,0.038347082921402674
0.9,30,0.038,0.037376694459577656
0.9,31,0.035,0.032148888285974675
0.9,32,0.03,0.02881016426172808
0.9,33,0.026,0.029065126437509695
0.9,34,0.025,0.031163808977313415
0.9,35,0.019,0.025058331537116486
0.9,36,0.019,0.021649075292019693
0.9,37,0.017,0.025591742386625517
0.9,38,0.013,0.022577992398640338
0.9,39,0.011,0.01942643260533147
0.9,40,0.009,0.013851879829284272
0.9,41,0.012,0.01818761680211329
0.9,42,0.011,0.017255941717484763
0.9,43,0.006,0.009625471216343657
0.9,44,0.008,0.015005394065210547
0.9,45,0.015,0.02877271664950013
0.9,46,0.01,0.01855670050394199
0.9,47,0.006,0.011509086659800051
0.9,48,0.008,0.014556512557965714
0.9,49,0.011,0.02009790710928803
0.9,50,0.007,0.013859541532683005
1.5,0,1.0,0.0
1.5,1,1.502,0.10042418181875234
1.5,2,2.282,0.18770844190447233
1.5,3,3.49,0.3235296976910318
1.5,4,5.227,0.5165001574768002
1.5,5,7.81,0.8135539821313715
1.5,6,11.779,1.2490412731876734
1.5,7,17.397,1.8472223452255996
1.5,8,24.814,2.4975709067046985
1.5,9,32.701,3.038938914777244
1.5,10,40.186,3.4008960243187403
1.5,11,46.288,3.64097919002419
1.5,12,50.641,3.7754946123672184
1.5,13,53.707,3.855493480955964
1.5,14,55.508,3.8943488977528062
1.5,15,56.748,3.9232226849029743
1.5,16,57.486,3.9362243738686686
1.5,17,57.928,3.939281716356632
1.5,18,58.258,3.940900509493325
1.5,19,58.516,3.9427708035746107
1.5,20,58.701,3.944623009842104
1.5,21,58.85,3.9470157015962783
1.5,22,58.95,3.9490710180666113
1.5,23,59.003,3.9507990515560465
1.5,24,59.028,3.950945343919159
1.5,25,59.049,3.951878416895646
1.5,26,59.052,3.9520720733137935
1.5,27,59.052,3.9520720733137935
1.5,28,59.052,3.9520720733137935
1.5,29,59.052,3.9520720733137935
1.5,30,59.052,3.9520720733137935
1.5,31,59.052,3.9520720733137935
1.5,32,59.052,3.9520720733137935
1.5,33,59.052,3.9520720733137935
1.5,34,59.052,3.9520720733137935
1.5,35,59.052,3.9520720733137935
1.5,36,59.052,3.9520720733137935
1.5,37,59.052,3.9520720733137935
1.5,38,59.052,3.9520720733137935
1.5,39,59.052,3.9520720733137935
1.5,40,59.052,3.9520720733137935
1.5,41,59.052,3.9520720733137935
1.5,42,59.052,3.9520720733137935
1.5,43,59.052,3.9520720733137935
1.5,44,59.052,3.9520720733137935
1.5,45,59.052,3.9520720733137935
1.5,46,59.052,3.9520720733137935
1.5,47,59.052,3.9520720733137935
1.5,48,59.052,3.9520720733137935
1.5,49,59.052,3.9520720733137935
1.5,50,59.052,3.9520720733137935
2.1,0,1.0,0.0
2.1,1,2.107,0.11903428107569458
2.1,2,4.613,0.3085756532560051
2.1,3,9.718,0.6885827031758502
2.1,4,20.601,1.4911310960230182
2.1,5,40.6,2.697384046043993
2.1,6,61.135,3.2374790703287815
2.1,7,72.507,3.205706188023811
2.1,8,78.348,3.112771039626054
2.1,9,80.697,3.072295165487759
2.1,10,81.432,3.052055974754566
2.1,11,81.73,3.0443067154944004
2.1,12,81.813,3.0434205672663524
2.1,13,81.848,3.0404180605972897
2.1,14,81.886,3.040180305889109
2.1,15,81.886,3.040180305889109
2.1,16,81.886,3.040180305889109
2.1,17,81.886,3.040180305889109
2.1,18,81.886,3.040180305889109
2.1,19,81.886,3.040180305889109
2.1,20,81.886,3.040180305889109
2.1,21,81.886,3.040180305889109
2.1,22,81.886,3.040180305889109
2.1,23,81.886,3.040180305889109
2.1,24,81.886,3.040180305889109
2.1,25,81.886,3.040180305889109
2.1,26,81.886,3.040180305889109
2.1,27,81.886,3.040180305889109
2.1,28,81.886,3.040180305889109
2.1,29,81.886,3.040180305889109
2.1,30,81.886,3.040180305889109
2.1,31,81.886,3.040180305889109
2.1,32,81.886,3.040180305889109
2.1,33,81.886,3.040180305889109
2.1,34,81.886,3.040180305889109
2.1,35,81.886,3.040180305889109
2.1,36,81.886,3.040180305889109
2.1,37,81.886,3.040180305889109
2.1,38,81.886,3.040180305889109
2.1,39,81.886,3.040180305889109
2.1,40,81.886,3.040180305889109
2.1,41,81.886,3.040180305889109
2.1,42,81.886,3.040180305889109
2.1,43,81.886,3.040180305889109
2.1,44,81.886,3.040180305889109
2.1,45,81.886,3.040180305889109
2.1,46,81.886,3.040180305889109
2.1,47,81.886,3.040180305889109
2.1,48,81.886,3.040180305889109
2.1,49,81.886,3.040180305889109
2.1,50,81.886,3.040180305889109
2.7,0,1.0,0.0
2.7,1,2.664,0.1332753099046493
2.7,2,7.148,0.4213358878697582
2.7,3,19.528,1.2120726641689359
2.7,4,48.615,2.6710303814777845
2.7,5,75.844,2.7661572491159063
2.7,6,87.16,2.407421384698381
2.7,7,89.71,2.3017970105266556
2.7,8,90.159,2.2756802740710214
2.7,9,90.273,2.270170110294103
2.7,10,90.273,2.270170110294103
2.7,11,90.273,2.270170110294103
2.7,12,90.273,2.270170110294103
2.7,13,90.273,2.270170110294103
2.7,14,90.273,2.270170110294103
2.7,15,90.273,2.270170110294103
2.7,16,90.273,2.270170110294103
2.7,17,90.273,2.270170110294103
2.7,18,90.273,2.270170110294103
2.7,19,90.273,2.270170110294103
2.7,20,90.273,2.270170110294103
2.7,21,90.273,2.270170110294103
2.7,22,90.273,2.270170110294103
2.7,23,90.273,2.270170110294103
2.7,24,90.273,2.270170110294103
2.7,25,90.273,2.270170110294103
2.7,26,90.273,2.270170110294103
2.7,27,90.273,2.270170110294103
2.7,28,90.273,2.270170110294103
2.7,29,90.273,2.270170110294103
2.7,30,90.273,2.270170110294103
2.7,31,90.273,2.270170110294103
2.7,32,90.273,2.270170110294103
2.7,33,90.273,2.270170110294103
2.7,34,90.273,2.270170110294103
2.7,35,90.273,2.270170110294103
2.7,36,90.273,2.270170110294103
2.7,37,90.273,2.270170110294103
2.7,38,90.273,2.270170110294103
2.7,39,90.273,2.270170110294103
2.7,40,90.273,2.270170110294103
2.7,41,90.273,2.270170110294103
2.7,42,90.273,2.270170110294103
2.7,43,90.273,2.270170110294103
2.7,44,90.273,2.270170110294103
2.7,45,90.273,2.270170110294103
2.7,46,90.273,2.270170110294103
2.7,47,90.273,2.270170110294103
2.7,48,90.273,2.270170110294103
2.7,49,90.273,2.270170110294103
2.7,50,90.273,2.270170110294103
3.3,0,1.0,0.0
3.3,1,3.246,0.15075719600885584
3.3,2,10.751,0.5688268593404366
3.3,3,35.131,1.878388685989222
3.3,4,77.187,2.4245464948386086
3.3,5,92.292,1.8447914967927659
3.3,6,94.004,1.726451361405239
3.3,7,94.131,1.713257321153776
3.3,8,94.185,1.7048386074039428
3.3,9,94.203,1.7045447820654687
3.3,10,94.203,1.7045447820654687
