seedResourceAcquisitionFitness,resilience,trials,seedSurvivalChance,error
0.9,0.0,20,0.0,0.0
0.9,0.4,20,0.6,0.3133996839015989
0.9,0.8,20,0.9,0.19191732777711412
0.9,0.9,20,0.95,0.13942470621580205
0.9,0.99,20,1.0,0.0
0.95,0.0,20,0.0,0.0
0.95,0.4,20,0.6,0.3133996839015989
0.95,0.8,20,0.8,0.25588977036948557
0.95,0.9,20,0.95,0.13942470621580205
0.95,0.99,20,1.0,0.0
1.0,0.0,20,0.0,0.0
1.0,0.4,20,0.35,0.30512910399629084
1.0,0.8,20,0.85,0.2284273100862434
1.0,0.9,20,1.0,0.0
1.0,0.99,20,1.0,0.0
1.05,0.0,20,0.0,0.0
1.05,0.4,20,0.55,0.31825888350216996
1.05,0.8,20,0.95,0.13942470621580205
1.05,0.9,20,0.95,0.13942470621580205
1.05,0.99,20,1.0,0.0
1.1,0.0,20,0.1,0.1919173277771142
1.1,0.4,20,0.7,0.29315856057075895
1.1,0.8,20,0.95,0.13942470621580205
1.1,0.9,20,0.95,0.13942470621580205
1.1,0.99,20,1.0,0.0
1.15,0.0,20,0.2,0.2558897703694856
1.15,0.4,20,0.8,0.25588977036948557
1.15,0.8,20,0.85,0.2284273100862434
1.15,0.9,20,0.9,0.19191732777711412
1.15,0.99,20,1.0,0.0
1.2,0.0,20,0.35,0.30512910399629084
1.2,0.4,20,0.55,0.31825888350216996
1.2,0.8,20,0.95,0.13942470621580205
1.2,0.9,20,1.0,0.0
1.2,0.99,20,1.0,0.0
1.25,0.0,20,0.4,0.3133996839015989
1.25,0.4,20,0.6,0.3133996839015989
1.25,0.8,20,0.9,0.19191732777711412
1.25,0.9,20,1.0,0.0
1.25,0.99,20,1.0,0.0
1.3,0.0,20,0.45,0.31825888350216996
1.3,0.4,20,0.7,0.29315856057075895
1.3,0.8,20,0.95,0.13942470621580205
1.3,0.9,20,0.95,0.13942470621580205
1.3,0.99,20,1.0,0.0
1.35,0.0,20,0.65,0.30512910399629084
1.35,0.4,20,0.6,0.3133996839015989
1.35,0.8,20,0.85,0.2284273100862434
1.35,0.9,20,1.0,0.0
1.35,0.99,20,1.0,0.0
1.4,0.0,20,0.6,0.3133996839015989
1.4,0.4,20,0.8,0.25588977036948557
1.4,0.8,20,0.9,0.19191732777711412
1.4,0.9,20,1.0,0.0
