seedResourceAcquisitionFitness,resilience,trials,seedSurvivalChance,error
0.9,0.0,200,0.0,0.0
0.9,0.4,200,0.415,0.08974371906470463
0.9,0.8,200,0.835,0.06760631920189475
0.9,0.9,200,0.925,0.04797374030111923
0.9,0.99,200,0.995,0.012846908303183358
0.95,0.0,200,0.0,0.0
0.95,0.4,200,0.475,0.09095541050096101
0.95,0.8,200,0.825,0.06920669031143012
0.95,0.9,200,0.935,0.044901884199166076
0.95,0.99,200,0.99,0.01812256553997116
1.0,0.0,200,0.025,0.028436385551779613
1.0,0.4,200,0.55,0.09061282769985579
1.0,0.8,200,0.865,0.0622410656473783
1.0,0.9,200,0.94,0.04325552960591261
1.0,0.99,200,0.995,0.012846908303183358
1.05,0.0,200,0.09,0.052124755712791467
1.05,0.4,200,0.59,0.0895818477088699
1.05,0.8,200,0.875,0.06023669212932825
1.05,0.9,200,0.93,0.04647212975141557
1.05,0.99,200,0.995,0.012846908303183358
1.1,0.0,200,0.15,0.06503650192892467
1.1,0.4,200,0.65,0.08687459285465249
1.1,0.8,200,0.945,0.04152401418685803
1.1,0.9,200,0.985,0.022139398962041423
1.1,0.99,200,1.0,0.0
1.15,0.0,200,0.295,0.08306300682606507
1.15,0.4,200,0.68,0.0849633303367463
1.15,0.8,200,0.915,0.05079513181124862
1.15,0.9,200,0.945,0.04152401418685803
1.15,0.99,200,0.995,0.012846908303183358
1.2,0.0,200,0.335,0.0859677000475324
1.2,0.4,200,0.68,0.0849633303367463
1.2,0.8,200,0.94,0.04325552960591261
1.2,0.9,200,0.935,0.044901884199166076
1.2,0.99,200,0.995,0.012846908303183358
1.25,0.0,200,0.37,0.08793731852001302
1.25,0.4,200,0.67,0.08564390341658268
1.25,0.8,200,0.895,0.05583522222043036
1.25,0.9,200,0.97,0.031070523900452507
1.25,0.99,200,0.995,0.012846908303183358
1.3,0.0,200,0.425,0.09003895981392052
1.3,0.4,200,0.765,0.07722656720483523
1.3,0.8,200,0.94,0.04325552960591261
1.3,0.9,200,0.965,0.033473394860657035
1.3,0.99,200,1.0,0.0
1.35,0.0,200,0.49,0.09105110270049455
1.35,0.4,200,0.735,0.08038382876747996
1.35,0.8,200,0.91,0.052124755712791404
1.35,0.9,200,0.97,0.031070523900452507
1.35,0.99,200,1.0,0.0
1.4,0.0,200,0.56,0.0904112416265706
1.4,0.4,200,0.75,0.0788683432275421
1.4,0.8,200,0.925,0.04797374030111923
1.4,0.9,200,0.97,0.031070523900452507
1.4,0.99,200,1.0,0.0
1.45,0.0,200,0.55,0.09061282769985579
1.45,0.4,200,0.79,0.07418656704921112
1.45,0.8,200,0.955,0.037758090618361995
1.45,0.9,200,0.975,0.02843638555177963
1.45,0.99,200,0.995,0.012846908303183358
1.5,0.0,200,0.605,0.08903859879931408
1.5,0.4,200,0.82,0.06997537918120667
1.5,0.8,200,0.945,0.04152401418685803
1.5,0.9,200,0.955,0.037758090618361995
1.5,0.99,200,1.0,0.0
1.55,0.0,200,0.62,0.08840762521413514
1.55,0.4,200,0.805,0.07216345660877477
1.55,0.8,200,0.96,0.035691737802971635
1.55,0.9,200,0.98,0.025499409148058372
1.55,0.99,200,0.995,0.012846908303183358
1.6,0.0,200,0.605,0.08903859879931408
1.6,0.4,200,0.81,0.07145315202624603
1.6,0.8,200,0.94,0.04325552960591261
1.6,0.9,200,0.975,0.02843638555177963
1.6,0.99,200,1.0,0.0
1.65,0.0,200,0.64,0.08742654565048558
1.65,0.4,200,0.835,0.06760631920189475
1.65,0.8,200,0.95,0.039696195570136705
1.65,0.9,200,0.97,0.031070523900452507
1.65,0.99,200,1.0,0.0
1.7,0.0,200,0.725,0.08132750180070103
1.7,0.4,200,0.825,0.06920669031143012
1.7,0.8,200,0.97,0.031070523900452507
1.7,0.9,200,0.97,0.031070523900452507
1.7,0.99,200,1.0,0.0
1.75,0.0,200,0.67,0.08564390341658268
1.75,0.4,200,0.885,0.058106221765355404
1.75,0.8,200,0.94,0.04325552960591261
1.75,0.9,200,0.98,0.025499409148058372
1.75,0.99,200,1.0,0.0
1.8,0.0,200,0.745,0.07938716778481913
1.8,0.4,200,0.865,0.0622410656473783
1.8,0.8,200,0.975,0.02843638555177963
1.8,0.9,200,0.99,0.01812256553997116
1.8,0.99,200,0.995,0.012846908303183358
1.85,0.0,200,0.72,0.08178004508331715
1.85,0.4,200,0.86,0.06319974488726021
1.85,0.8,200,0.95,0.039696195570136705
1.85,0.9,200,0.96,0.035691737802971635
1.85,0.99,200,1.0,0.0
1.9,0.0,200,0.78,0.07545025701530905
1.9,0.4,200,0.865,0.0622410656473783
1.9,0.8,200,0.97,0.031070523900452507
1.9,0.9,200,0.99,0.01812256553997116
1.9,0.99,200,1.0,0.0
1.95,0.0,200,0.74,0.07989224324164645
1.95,0.4,200,0.865,0.0622410656473783
1.95,0.8,200,0.945,0.04152401418685803
1.95,0.9,200,0.995,0.012846908303183358
1.95,0.99,200,0.99,0.01812256553997116
2.0,0.0,200,0.805,0.07216345660877477
2.0,0.4,200,0.88,0.05918805120410031
2.0,0.8,200,0.955,0.037758090618361995
2.0,0.9,200,0.985,0.022139398962041423
2.0,0.99,200,1.0,0.0
2.05,0.0,200,0.84,0.0667731271986437
2.05,0.4,200,0.875,0.06023669212932825
2.05,0.8,200,0.95,0.039696195570136705
2.05,0.9,200,0.995,0.012846908303183358
2.05,0.99,200,1.0,0.0
2.1,0.0,200,0.83,0.06841724601312504
2.1,0.4,200,0.915,0.05079513181124862
2.1,0.8,200,0.955,0.037758090618361995
2.1,0.9,200,0.99,0.01812256553997116
2.1,0.99,200,1.0,0.0
2.15,0.0,200,0.87,0.06125384908622067
2.15,0.4,200,0.915,0.05079513181124862
2.15,0.8,200,0.985,0.022139398962041423
2.15,0.9,200,1.0,0.0
2.15,0.99,200,1.0,0.0
2.2,0.0,200,0.82,0.06997537918120667
2.2,0.4,200,0.93,0.04647212975141557
2.2,0.8,200,0.97,0.031070523900452507
2.2,0.9,200,0.99,0.01812256553997116
2.2,0.99,200,0.995,0.012846908303183358
2.25,0.0,200,0.835,0.06760631920189475
2.25,0.4,200,0.92,0.049412973490529866
2.25,0.8,200,0.965,0.033473394860657035
2.25,0.9,200,0.985,0.022139398962041423
2.25,0.99,200,1.0,0.0
2.3,0.0,200,0.83,0.06841724601312504
2.3,0.4,200,0.945,0.04152401418685803
2.3,0.8,200,0.98,0.025499409148058372
2.3,0.9,200,0.995,0.012846908303183358
2.3,0.99,200,0.995,0.012846908303183358
2.35,0.0,200,0.875,0.06023669212932825
2.35,0.4,200,0.93,0.04647212975141557
2.35,0.8,200,0.965,0.033473394860657035
