seedResourceAcquisitionFitness,turn,seedPopulation,error
0.9,0,1.0,0.0
0.9,1,1.43,0.25823893148954946
0.9,2,2.29,0.5332588803040865
0.9,3,3.92,1.1390176213638155
0.9,4,7.18,2.1957732402148658
0.9,5,11.96,3.8151710322048107
0.9,6,20.47,6.256079590741683
0.9,7,33.51,10.032218268940042
0.9,8,52.33,15.360197561778193
0.9,9,77.05,21.861170435488646
0.9,10,108.38,29.80036980308728
0.9,11,144.37,38.101759959884006
0.9,12,182.85,46.84628929939768
0.9,13,215.54,52.966622326576186
0.9,14,243.94,58.13364063359117
0.9,15,256.64,58.80303528170339
0.9,16,266.66,59.45035482915776
0.9,17,272.89,59.4892101730789
0.9,18,277.28,59.698133467065446
0.9,19,279.81,59.69157152199631
0.9,20,281.47,59.6195204631359
0.9,21,282.7,59.49053297289433
0.9,22,283.18,59.394997585317554
0.9,23,284.27,59.21094689057401
0.9,24,285.05,59.08080320742613
0.9,25,285.83,58.95422311281061
0.9,26,286.41,58.86789599964362
0.9,27,286.43,58.86620715523907
0.9,28,286.24,58.89321637618241
0.9,29,286.15,58.90401106631299
0.9,30,286.41,58.858292474757064
0.9,31,286.53,58.83459662669176
0.9,32,286.51,58.814057707002405
0.9,33,286.85,58.75180791919655
0.9,34,286.88,58.7244034101694
0.9,35,287.02,58.693502164422625
0.9,36,286.97,58.69663874458192
0.9,37,286.88,58.71604202586687
0.9,38,287.31,58.628813934819846
0.9,39,287.44,58.603658398917275
0.9,40,287.55,58.58422786217619
0.9,41,287.67,58.56457137599014
0.9,42,287.71,58.55837669574123
0.9,43,287.8,58.54509262114246
0.9,44,287.71,58.55837669574123
0.9,45,287.63,58.570944836317864
0.9,46,287.63,58.570944836317864
0.9,47,287.63,58.570944836317864
0.9,48,287.63,58.570944836317864
0.9,49,287.63,58.570944836317864
0.9,50,287.63,58.570944836317864
0.95,0,1.0,0.0
0.95,1,1.53,0.2587522784458238
0.95,2,2.29,0.5693631644471704
0.95,3,3.91,1.1043640968010138
0.95,4,6.87,2.138607001970805
0.95,5,11.74,3.950791501891846
0.95,6,20.03,6.845743600802161
0.95,7,33.71,11.219816605902029
0.95,8,52.38,16.82234579038566
0.95,9,78.69,24.240995186612125
0.95,10,109.65,31.953645280204853
0.95,11,143.69,39.67425539497543
0.95,12,178.09,46.7973119851774
0.95,13,204.47,51.18498139035543
0.95,14,225.66,54.841217271307556
0.95,15,239.59,57.280977862368644
0.95,16,247.09,58.281507478586406
0.95,17,250.22,58.79083749458647
0.95,18,251.21,58.82928302001497
0.95,19,252.22,58.679399471373756
0.95,20,252.8,58.588221344312615
0.95,21,253.66,58.44945741686263
0.95,22,254.35,58.353221300850066
0.95,23,255.16,58.23122017149032
0.95,24,254.98,58.19281250606568
0.95,25,254.98,58.19192317649535
0.95,26,255.76,58.078035281162215
0.95,27,256.01,58.04475160578616
0.95,28,256.24,57.995975072064255
0.95,29,256.4,57.97220738659101
0.95,30,256.79,57.91818826845406
0.95,31,257.13,57.87185872789175
0.95,32,257.28,57.85598266582974
0.95,33,257.21,57.85306072977204
0.95,34,257.44,57.81188580384625
0.95,35,257.25,57.838070334248954
0.95,36,257.19,57.852721260238155
0.95,37,257.26,57.8328189574986
0.95,38,257.4,57.81687428050628
0.95,39,257.46,57.801350381102225
0.95,40,257.35,57.83012003550249
0.95,41,257.35,57.83012003550249
0.95,42,257.29,57.84638565924695
0.95,43,257.22,57.865872929495026
0.95,44,257.2,57.871541667800415
0.95,45,257.2,57.871541667800415
0.95,46,257.2,57.871541667800415
0.95,47,257.25,57.8574539280867
0.95,48,257.33,57.835496989205694
0.95,49,257.36,57.82744840947959
0.95,50,257.35,57.83012003550249
1.0,0,1.0,0.0
1.0,1,1.59,0.2939042681702584
1.0,2,2.63,0.5824507688267015
1.0,3,4.49,1.1516549811673369
1.0,4,8.04,2.2760538455255723
1.0,5,14.23,4.268399425358739
1.0,6,24.71,7.410450503640899
1.0,7,40.77,12.108855749985892
1.0,8,64.35,18.12979024406723
1.0,9,94.03,25.21292077683094
1.0,10,128.99,33.191287146583605
1.0,11,167.84,41.22108768891039
1.0,12,205.37,48.781646122962684
1.0,13,240.75,55.81304860523733
1.0,14,262.35,58.93726401550114
1.0,15,270.31,58.86384512633521
1.0,16,277.01,58.78833107949694
1.0,17,279.59,58.67902085429273
1.0,18,282.09,58.49290478571129
1.0,19,283.08,58.366083083635374
1.0,20,283.21,58.327210873847974
1.0,21,283.8,58.24417695960568
1.0,22,284.58,58.12761827175626
1.0,23,284.99,58.07329836783239
1.0,24,285.32,58.01600078318171
1.0,25,285.72,57.958987864846506
1.0,26,285.79,57.94653403023855
1.0,27,285.96,57.924163506156845
1.0,28,286.03,57.913367078101885
1.0,29,286.24,57.88698416215681
1.0,30,286.21,57.89044753122812
1.0,31,285.9,57.93219916453597
1.0,32,286.01,57.916139964587074
