seedResourceAcquisitionFitness,turn,seedPopulation,error
0.9,0,1.0,0.0
0.9,1,1.568,0.09097368181290366
0.9,2,2.606,0.19709326158796348
0.9,3,4.342,0.37298004757612624
0.9,4,7.308,0.675717827009481
0.9,5,12.507,1.2193007119140429
0.9,6,20.87,2.0844318333233645
0.9,7,33.923,3.3461054466026567
0.9,8,52.898,5.092411012684622
0.9,9,78.211,7.245377206364083
0.9,10,109.186,9.712513868230062
0.9,11,143.798,12.309585917837268
0.9,12,179.197,14.767360859431136
0.9,13,209.707,16.643222515083067
0.9,14,232.006,17.872259779895273
0.9,15,247.097,18.607055206712488
0.9,16,256.251,19.009630032807962
0.9,17,261.925,19.24517369135947
0.9,18,264.934,19.331528674427204
0.9,19,266.869,19.349702394318058
0.9,20,268.315,19.324389164999673
0.9,21,269.314,19.29793769550963
0.9,22,269.825,19.280371298380857
0.9,23,270.403,19.248781783122837
0.9,24,271.168,19.211041224697368
0.9,25,271.402,19.19885665122314
0.9,26,271.695,19.1840659305621
0.9,27,272.069,19.16590555004771
0.9,28,272.167,19.160058829272344
0.9,29,272.279,19.155060904992013
0.9,30,272.464,19.14660247991378
0.9,31,272.643,19.137358059280444
0.9,32,272.832,19.128869725730226
0.9,33,272.889,19.12667452679881
0.9,34,272.992,19.121338796609194
0.9,35,273.032,19.11940302673517
0.9,36,273.005,19.12079697218158
0.9,37,273.114,19.116746723418686
0.9,38,273.116,19.116371107483815
0.9,39,273.177,19.113831208052403
0.9,40,273.189,19.11303377630179
0.9,41,273.159,19.113693059968767
0.9,42,273.219,19.110626862178236
0.9,43,273.25,19.10890205614828
0.9,44,273.253,19.10890509271644
0.9,45,273.288,19.10732173845176
0.9,46,273.256,19.108862293744494
0.9,47,273.29,19.10736424866954
0.9,48,273.271,19.108074982465382
0.9,49,273.282,19.107195240635036
0.9,50,273.292,19.10688866512342
0.95,0,1.0,0.0
0.95,1,1.587,0.09079317826193445
0.95,2,2.637,0.19174330425695008
0.95,3,4.441,0.3698671945863694
0.95,4,7.716,0.6913371529572192
0.95,5,13.234,1.2283904014612048
0.95,6,22.467,2.10852187079724
0.95,7,37.381,3.485628963455582
0.95,8,58.734,5.340939198986739
0.95,9,86.867,7.623093304656294
0.95,10,120.581,10.156956282865977
0.95,11,157.889,12.802689627220218
0.95,12,194.495,15.204766700019803
0.95,13,224.157,16.91070964203857
0.95,14,244.811,17.973109412915676
0.95,15,256.865,18.450221147018965
0.95,16,264.457,18.722937982215342
0.95,17,268.569,18.77770821389697
0.95,18,271.458,18.780788900048236
0.95,19,273.067,18.770354013957984
0.95,20,274.245,18.734052915612182
0.95,21,274.96,18.716389138105058
0.95,22,275.798,18.68512670073062
0.95,23,276.307,18.664654781584716
0.95,24,276.73,18.648744989752856
0.95,25,276.81,18.644943564682023
0.95,26,277.129,18.62960389960864
0.95,27,277.025,18.634951409837015
0.95,28,277.198,18.62809028683978
0.95,29,277.318,18.62256054535925
0.95,30,277.283,18.6248114098168
0.95,31,277.243,18.626243267240284
0.95,32,277.352,18.62171884759323
0.95,33,277.292,18.624126673420164
0.95,34,277.317,18.622654895020503
0.95,35,277.303,18.62374627263108
0.95,36,277.365,18.621303341338205
0.95,37,277.351,18.62239004957837
0.95,38,277.355,18.62200796029174
0.95,39,277.351,18.622392187294167
0.95,40,277.341,18.62334182901617
0.95,41,277.352,18.62230708766731
0.95,42,277.343,18.623168082110965
0.95,43,277.339,18.623552268077958
0.95,44,277.339,18.623582906735408
0.95,45,277.334,18.62404824563413
0.95,46,277.334,18.624042901819394
0.95,47,277.333,18.62413582466081
0.95,48,277.34,18.62347465959874
0.95,49,277.331,18.62432701161879
0.95,50,277.326,18.624805854792726
1.0,0,1.0,0.0
1.0,1,1.588,0.08916448094142226
1.0,2,2.666,0.19678466011773033
1.0,3,4.647,0.380285156902592
1.0,4,8.232,0.7431085668000303
1.0,5,14.644,1.3925955313808078
1.0,6,25.264,2.399114061233451
1.0,7,41.935,3.9280094374659598
1.0,8,65.629,5.923523351823398
1.0,9,96.068,8.324779594695173
1.0,10,131.225,10.90119579098456
1.0,11,169.334,13.475034006138486
1.0,12,204.032,15.577545092095534
1.0,13,230.849,17.000615112276392
1.0,14,248.523,17.780636697725754
1.0,15,259.678,18.206135045480863
1.0,16,265.549,18.349498832243
1.0,17,268.648,18.34157344514915
1.0,18,270.635,18.31891187737412
1.0,19,272.276,18.28267096537172
1.0,20,273.061,18.24755244449605
1.0,21,273.617,18.21863404858007
1.0,22,274.114,18.193878115235805
1.0,23,274.667,18.16589113848795
1.0,24,274.853,18.15762449214361
1.0,25,275.047,18.15046577301274
1.0,26,275.189,18.141212904002998
1.0,27,275.208,18.140341600372608
1.0,28,275.394,18.130119567777854
1.0,29,275.447,18.129559718631413
1.0,30,275.539,18.124769124431566
1.0,31,275.563,18.121822322162643
1.0,32,275.566,18.121780146611115
1.0,33,275.665,18.11638062129464
1.0,34,275.658,18.116234539766822
1.0,35,275.709,18.11404305973383
1.0,36,275.711,18.113671123117967
1.0,37,275.735,18.11245779375139
1.0,38,275.753,18.112023193280436
1.0,39,275.723,18.114787326137787
1.0,40,275.685,18.11702280723847
1.0,41,275.743,18.113511322309023
