seedResourceAcquisitionFitness,seedResilience,seedMutationProbability,turn,seedPopulation,error
1.0,0.0,0.0,0,1.0,0.0
1.0,0.0,0.0,1,1.2,1.2835821919120527
1.0,0.0,0.0,2,1.6,1.8498388198316762
1.0,0.0,0.0,3,2.5,3.5674254599237214
1.0,0.0,0.0,4,2.3,3.015525183414626
1.0,0.0,0.0,5,2.9,3.83012111098759
1.0,0.0,0.0,6,3.2,5.03042630296483
1.0,0.0,0.0,7,3.1,5.002002614081756
1.0,0.0,0.0,8,2.7,5.261322150868969
1.0,0.0,0.0,9,2.2,5.215960733948413
1.0,0.0,0.0,10,2.4,5.324178897370976
1.0,0.0,0.0,11,2.7,5.301317573690555
1.0,0.0,0.0,12,2.3,4.8649940367089926
1.0,0.0,0.0,13,2.7,5.554272237606223
1.0,0.0,0.0,14,2.7,5.554272237606223
1.0,0.0,0.0,15,2.8,5.9179139359376105
1.0,0.0,0.0,16,2.2,4.614308723042922
1.0,0.0,0.0,17,2.2,4.521828226255209
1.0,0.0,0.0,18,2.2,4.727365872903173
1.0,0.0,0.0,19,2.1,4.37099860040461
1.0,0.0,0.0,20,2.4,5.121971761122005
1.0,0.0,0.0,21,2.2,4.521828226255209
1.0,0.0,0.0,22,1.7,3.501688370775812
1.0,0.0,0.0,23,2.8,5.827998133872814
1.0,0.0,0.0,24,2.5,5.265335364382221
1.0,0.0,0.0,25,1.9,3.9119705504613096
1.0,0.0,0.0,26,2.3,4.993549709665616
1.0,0.0,0.0,27,1.9,4.223536082366476
1.0,0.0,0.0,28,1.8,4.131255568539867
1.0,0.0,0.0,29,1.9,4.223536082366476
1.0,0.0,0.0,30,1.1,2.536121351170732
1.0,0.0,0.0,31,0.6,1.3160830869564872
1.0,0.0,0.0,32,0.9,2.1776323244020626
1.0,0.0,0.0,33,1.0,2.4750010116138506
1.0,0.0,0.0,34,0.9,2.4514188271220054
1.0,0.0,0.0,35,1.4,3.6825096693500003
1.0,0.0,0.0,36,0.8,2.4664517597755684
1.0,0.0,0.0,37,1.2,3.699677639663353
1.0,0.0,0.0,38,1.2,3.699677639663353
1.0,0.0,0.0,39,1.8,5.549516459495028
1.0,0.0,0.0,40,1.7,5.2412099895230835
1.0,0.0,0.0,41,1.3,4.007984109635299
1.0,0.0,0.0,42,0.6,1.8498388198316764
1.0,0.0,0.0,43,0.4,1.2332258798877842
1.0,0.0,0.0,44,0.5,1.5415323498597304
1.0,0.0,0.0,45,0.2,0.6166129399438921
1.0,0.0,0.0,46,0.1,0.30830646997194605
1.0,0.0,0.0,47,0.0,0.0
1.0,0.0,0.0,48,0.0,0.0
1.0,0.0,0.0,49,0.0,0.0
1.0,0.0,0.0,50,0.0,0.0
1.0,0.0,0.02,0,1.0,0.0
1.0,0.0,0.02,1,1.2,1.1984801301839896
1.0,0.0,0.02,2,0.9,1.4128377358910726
1.0,0.0,0.02,3,1.3,2.477133714303081
1.0,0.0,0.02,4,0.7,1.595401166610579
1.0,0.0,0.02,5,0.6,1.2332258798877842
1.0,0.0,0.02,6,0.5,1.5415323498597304
1.0,0.0,0.02,7,0.8,2.4664517597755684
1.0,0.0,0.02,8,0.7,2.1581452898036226
1.0,0.0,0.02,9,0.5,1.5415323498597304
1.0,0.0,0.02,10,0.4,1.2332258798877842
1.0,0.0,0.02,11,0.2,0.6166129399438921
1.0,0.0,0.02,12,0.1,0.30830646997194605
1.0,0.0,0.02,13,0.2,0.6166129399438921
1.0,0.0,0.02,14,0.1,0.30830646997194605
1.0,0.0,0.02,15,0.1,0.30830646997194605
1.0,0.0,0.02,16,0.0,0.0
1.0,0.0,0.02,17,0.0,0.0
1.0,0.0,0.02,18,0.0,0.0
1.0,0.0,0.02,19,0.0,0.0
1.0,0.0,0.02,20,0.0,0.0
1.0,0.0,0.02,21,0.0,0.0
1.0,0.0,0.02,22,0.0,0.0
1.0,0.0,0.02,23,0.0,0.0
1.0,0.0,0.02,24,0.0,0.0
1.0,0.0,0.02,25,0.0,0.0
1.0,0.0,0.02,26,0.0,0.0
1.0,0.0,0.02,27,0.0,0.0
1.0,0.0,0.02,28,0.0,0.0
1.0,0.0,0.02,29,0.0,0.0
1.0,0.0,0.02,30,0.0,0.0
1.0,0.0,0.02,31,0.0,0.0
1.0,0.0,0.02,32,0.0,0.0
1.0,0.0,0.02,33,0.0,0.0
1.0,0.0,0.02,34,0.0,0.0
1.0,0.0,0.02,35,0.0,0.0
1.0,0.0,0.02,36,0.0,0.0
1.0,0.0,0.02,37,0.0,0.0
1.0,0.0,0.02,38,0.0,0.0
1.0,0.0,0.02,39,0.0,0.0
1.0,0.0,0.02,40,0.0,0.0
1.0,0.0,0.02,41,0.0,0.0
1.0,0.0,0.02,42,0.0,0.0
1.0,0.0,0.02,43,0.0,0.0
1.0,0.0,0.02,44,0.0,0.0
1.0,0.0,0.02,45,0.0,0.0
1.0,0.0,0.02,46,0.0,0.0
1.0,0.0,0.02,47,0.0,0.0
1.0,0.0,0.02,48,0.0,0.0
1.0,0.0,0.02,49,0.0,0.0
1.0,0.0,0.02,50,0.0,0.0
1.0,0.0,0.04,0,1.0,0.0
1.0,0.0,0.04,1,1.1,1.4128377358910726
1.0,0.0,0.04,2,1.4,1.8498388198316764
1.0,0.0,0.04,3,1.3,2.3002775821072796
1.0,0.0,0.04,4,1.5,2.8793616258132158
1.0,0.0,0.04,5,1.5,3.385137026240515
1.0,0.0,0.04,6,2.1,5.485391239832463
1.0,0.0,0.04,7,2.6,7.01844102383529
1.0,0.0,0.04,8,1.8,3.9749089105165867
1.0,0.0,0.04,9,1.5,4.292982317422904
1.0,0.0,0.04,10,2.2,6.447464044300674
1.0,0.0,0.04,11,1.3,4.007984109635299
1.0,0.0,0.04,12,1.5,4.624597049579191
1.0,0.0,0.04,13,1.5,4.624597049579191
1.0,0.0,0.04,14,1.2,3.699677639663353
1.0,0.0,0.04,15,0.8,2.4664517597755684
1.0,0.0,0.04,16,0.9,2.774758229747514
1.0,0.0,0.04,17,0.6,1.8498388198316764
1.0,0.0,0.04,18,0.4,1.2332258798877842
1.0,0.0,0.04,19,0.3,0.9249194099158382
1.0,0.0,0.04,20,0.0,0.0
1.0,0.0,0.04,21,0.0,0.0
1.0,0.0,0.04,22,0.0,0.0
1.0,0.0,0.04,23,0.0,0.0
1.0,0.0,0.04,24,0.0,0.0
1.0,0.0,0.04,25,0.0,0.0
1.0,0.0,0.04,26,0.0,0.0
1.0,0.0,0.04,27,0.0,0.0
1.0,0.0,0.04,28,0.0,0.0
1.0,0.0,0.04,29,0.0,0.0
1.0,0.0,0.04,30,0.0,0.0
1.0,0.0,0.04,31,0.0,0.0
1.0,0.0,0.04,32,0.0,0.0
1.0,0.0,0.04,33,0.0,0.0
1.0,0.0,0.04,34,0.0,0.0
1.0,0.0,0.04,35,0.0,0.0
1.0,0.0,0.04,36,0.0,0.0
1.0,0.0,0.04,37,0.0,0.0
1.0,0.0,0.04,38,0.0,0.0
1.0,0.0,0.04,39,0.0,0.0
1.0,0.0,0.04,40,0.0,0.0
1.0,0.0,0.04,41,0.0,0.0
1.0,0.0,0.04,42,0.0,0.0
1.0,0.0,0.04,43,0.0,0.0
1.0,0.0,0.04,44,0.0,0.0
1.0,0.0,0.04,45,0.0,0.0
1.0,0.0,0.04,46,0.0,0.0
1.0,0.0,0.04,47,0.0,0.0
1.0,0.0,0.04,48,0.0,0.0
1.0,0.0,0.04,49,0.0,0.0
1.0,0.0,0.04,50,0.0,0.0
1.0,0.0,0.06,0,1.0,0.0
1.0,0.0,0.06,1,1.2,1.1068541012698634
1.0,0.0,0.06,2,1.1,1.2544533574676975
1.0,0.0,0.06,3,0.7,1.2203121640313237
1.0,0.0,0.06,4,0.9,1.6855340256872533
1.0,0.0,0.06,5,1.2,2.096080942071815
1.0,0.0,0.06,6,0.8,1.7073239203740012
1.0,0.0,0.06,7,0.9,1.864057621049636
1.0,0.0,0.06,8,1.1,2.272562382460944
1.0,0.0,0.06,9,1.2,2.508906714935395
1.0,0.0,0.06,10,0.4,0.9418918239273817
1.0,0.0,0.06,11,0.1,0.30830646997194605
1.0,0.0,0.06,12,0.1,0.30830646997194605
1.0,0.0,0.06,13,0.0,0.0
1.0,0.0,0.06,14,0.0,0.0
1.0,0.0,0.06,15,0.0,0.0
1.0,0.0,0.06,16,0.0,0.0
1.0,0.0,0.06,17,0.0,0.0
1.0,0.0,0.06,18,0.0,0.0
1.0,0.0,0.06,19,0.0,0.0
1.0,0.0,0.06,20,0.0,0.0
1.0,0.0,0.06,21,0.0,0.0
1.0,0.0,0.06,22,0.0,0.0
1.0,0.0,0.06,23,0.0,0.0
1.0,0.0,0.06,24,0.0,0.0
1.0,0.0,0.06,25,0.0,0.0
1.0,0.0,0.06,26,0.0,0.0
1.0,0.0,0.06,27,0.0,0.0
1.0,0.0,0.06,28,0.0,0.0
1.0,0.0,0.06,29,0.0,0.0
1.0,0.0,0.06,30,0.0,0.0
1.0,0.0,0.06,31,0.0,0.0
1.0,0.0,0.06,32,0.0,0.0
1.0,0.0,0.06,33,0.0,0.0
1.0,0.0,0.06,34,0.0,0.0
1.0,0.0,0.06,35,0.0,0.0
1.0,0.0,0.06,36,0.0,0.0
1.0,0.0,0.06,37,0.0,0.0
1.0,0.0,0.06,38,0.0,0.0
1.0,0.0,0.06,39,0.0,0.0
1.0,0.0,0.06,40,0.0,0.0
1.0,0.0,0.06,41,0.0,0.0
1.0,0.0,0.06,42,0.0,0.0
1.0,0.0,0.06,43,0.0,0.0
1.0,0.0,0.06,44,0.0,0.0
1.0,0.0,0.06,45,0.0,0.0
1.0,0.0,0.06,46,0.0,0.0
1.0,0.0,0.06,47,0.0,0.0
1.0,0.0,0.06,48,0.0,0.0
1.0,0.0,0.06,49,0.0,0.0
1.0,0.0,0.06,50,0.0,0.0
1.0,0.0,0.08,0,1.0,0.0
1.0,0.0,0.08,1,1.0,0.9191922996803589
1.0,0.0,0.08,2,1.6,2.0656277842699335
1.0,0.0,0.08,3,1.3,1.5277683926153462
1.0,0.0,0.08,4,0.5,0.8285487421272989
1.0,0.0,0.08,5,0.1,0.30830646997194605
1.0,0.0,0.08,6,0.1,0.30830646997194605
1.0,0.0,0.08,7,0.0,0.0
1.0,0.0,0.08,8,0.0,0.0
1.0,0.0,0.08,9,0.0,0.0
1.0,0.0,0.08,10,0.0,0.0
1.0,0.0,0.08,11,0.0,0.0
1.0,0.0,0.08,12,0.0,0.0
1.0,0.0,0.08,13,0.0,0.0
1.0,0.0,0.08,14,0.0,0.0
1.0,0.0,0.08,15,0.0,0.0
1.0,0.0,0.08,16,0.0,0.0
1.0,0.0,0.08,17,0.0,0.0
1.0,0.0,0.08,18,0.0,0.0
1.0,0.0,0.08,19,0.0,0.0
1.0,0.0,0.08,20,0.0,0.0
1.0,0.0,0.08,21,0.0,0.0
1.0,0.0,0.08,22,0.0,0.0
1.0,0.0,0.08,23,0.0,0.0
1.0,0.0,0.08,24,0.0,0.0
1.0,0.0,0.08,25,0.0,0.0
1.0,0.0,0.08,26,0.0,0.0
1.0,0.0,0.08,27,0.0,0.0
1.0,0.0,0.08,28,0.0,0.0
1.0,0.0,0.08,29,0.0,0.0
1.0,0.0,0.08,30,0.0,0.0
1.0,0.0,0.08,31,0.0,0.0
1.0,0.0,0.08,32,0.0,0.0
1.0,0.0,0.08,33,0.0,0.0
1.0,0.0,0.08,34,0.0,0.0
1.0,0.0,0.08,35,0.0,0.0
1.0,0.0,0.08,36,0.0,0.0
1.0,0.0,0.08,37,0.0,0.0
1.0,0.0,0.08,38,0.0,0.0
1.0,0.0,0.08,39,0.0,0.0
1.0,0.0,0.08,40,0.0,0.0
1.0,0.0,0.08,41,0.0,0.0
1.0,0.0,0.08,42,0.0,0.0
1.0,0.0,0.08,43,0.0,0.0
1.0,0.0,0.08,44,0.0,0.0
1.0,0.0,0.08,45,0.0,0.0
1.0,0.0,0.08,46,0.0,0.0
1.0,0.0,0.08,47,0.0,0.0
1.0,0.0,0.08,48,0.0,0.0
1.0,0.0,0.08,49,0.0,0.0
1.0,0.0,0.08,50,0.0,0.0
1.0,0.0,0.1,0,1.0,0.0
1.0,0.0,0.1,1,1.0,1.0276882332398203
1.0,0.0,0.1,2,1.0,1.2999342166368777
1.0,0.0,0.1,3,0.9,1.6216646789029974
1.0,0.0,0.1,4,1.0,1.8383845993607177
1.0,0.0,0.1,5,0.9,1.6216646789029974
1.0,0.0,0.1,6,1.0,2.155697024364548
1.0,0.0,0.1,7,0.7,2.1581452898036226
1.0,0.0,0.1,8,0.6,1.8498388198316764
1.0,0.0,0.1,9,0.4,1.2332258798877842
1.0,0.0,0.1,10,0.2,0.6166129399438921
1.0,0.0,0.1,11,0.3,0.9249194099158382
1.0,0.0,0.1,12,0.4,1.2332258798877842
1.0,0.0,0.1,13,0.2,0.6166129399438921
1.0,0.0,0.1,14,0.0,0.0
1.0,0.0,0.1,15,0.0,0.0
1.0,0.0,0.1,16,0.0,0.0
1.0,0.0,0.1,17,0.0,0.0
1.0,0.0,0.1,18,0.0,0.0
1.0,0.0,0.1,19,0.0,0.0
1.0,0.0,0.1,20,0.0,0.0
1.0,0.0,0.1,21,0.0,0.0
1.0,0.0,0.1,22,0.0,0.0
1.0,0.0,0.1,23,0.0,0.0
1.0,0.0,0.1,24,0.0,0.0
1.0,0.0,0.1,25,0.0,0.0
1.0,0.0,0.1,26,0.0,0.0
1.0,0.0,0.1,27,0.0,0.0
1.0,0.0,0.1,28,0.0,0.0
1.0,0.0,0.1,29,0.0,0.0
1.0,0.0,0.1,30,0.0,0.0
1.0,0.0,0.1,31,0.0,0.0
1.0,0.0,0.1,32,0.0,0.0
1.0,0.0,0.1,33,0.0,0.0
1.0,0.0,0.1,34,0.0,0.0
1.0,0.0,0.1,35,0.0,0.0
1.0,0.0,0.1,36,0.0,0.0
1.0,0.0,0.1,37,0.0,0.0
1.0,0.0,0.1,38,0.0,0.0
1.0,0.0,0.1,39,0.0,0.0
1.0,0.0,0.1,40,0.0,0.0
1.0,0.0,0.1,41,0.0,0.0
1.0,0.0,0.1,42,0.0,0.0
1.0,0.0,0.1,43,0.0,0.0
1.0,0.0,0.1,44,0.0,0.0
1.0,0.0,0.1,45,0.0,0.0
1.0,0.0,0.1,46,0.0,0.0
1.0,0.0,0.1,47,0.0,0.0
1.0,0.0,0.1,48,0.0,0.0
1.0,0.0,0.1,49,0.0,0.0
1.0,0.0,0.1,50,0.0,0.0
1.0,0.1,0.0,0,1.0,0.0
1.0,0.1,0.0,1,1.2,1.0069247144399625
1.0,0.1,0.0,2,2.1,1.8640576210496362
1.0,0.1,0.0,3,1.9,2.4079505071783167
1.0,0.1,0.0,4,1.1,2.272562382460944
1.0,0.1,0.0,5,1.7,3.501688370775812
1.0,0.1,0.0,6,1.2,2.508906714935395
1.0,0.1,0.0,7,1.8,4.131255568539867
1.0,0.1,0.0,8,2.2,4.614308723042922
1.0,0.1,0.0,9,3.0,6.18323381343233
1.0,0.1,0.0,10,3.9,8.0978963548122
1.0,0.1,0.0,11,3.9,8.019261415342015
1.0,0.1,0.0,12,3.6,7.413614986674713
1.0,0.1,0.0,13,4.7,9.985513032311562
1.0,0.1,0.0,14,5.2,11.46045184560428
1.0,0.1,0.0,15,5.1,10.899795312397188
1.0,0.1,0.0,16,5.7,11.985241911435526
1.0,0.1,0.0,17,5.5,11.583737801640888
1.0,0.1,0.0,18,6.2,13.397838709341876
1.0,0.1,0.0,19,6.4,13.789416397270573
1.0,0.1,0.0,20,7.3,15.39509902971104
1.0,0.1,0.0,21,7.5,16.451038586956088
1.0,0.1,0.0,22,7.5,17.179615555054674
1.0,0.1,0.0,23,9.0,20.26396898741088
1.0,0.1,0.0,24,8.1,18.2942938770789
1.0,0.1,0.0,25,8.7,20.89040191833185
1.0,0.1,0.0,26,9.1,21.83178466680923
1.0,0.1,0.0,27,8.4,20.48788704448802
1.0,0.1,0.0,28,9.1,24.52043450057926
1.0,0.1,0.0,29,9.1,23.652239664554173
1.0,0.1,0.0,30,8.9,21.7250959048993
1.0,0.1,0.0,31,11.3,26.664697627044916
1.0,0.1,0.0,32,11.1,25.242039807795706
1.0,0.1,0.0,33,13.5,31.95846037340369
1.0,0.1,0.0,34,12.8,29.492324685235154
1.0,0.1,0.0,35,12.3,28.472899547273922
1.0,0.1,0.0,36,12.2,26.70724259853355
1.0,0.1,0.0,37,13.0,29.27017742626016
1.0,0.1,0.0,38,13.0,29.46079434562126
1.0,0.1,0.0,39,14.3,31.31347664938016
1.0,0.1,0.0,40,15.0,31.592012186293328
1.0,0.1,0.0,41,15.6,32.07704566136806
1.0,0.1,0.0,42,14.8,30.506246215690506
1.0,0.1,0.0,43,15.0,30.99804827230374
1.0,0.1,0.0,44,15.3,31.45481556059563
1.0,0.1,0.0,45,17.9,36.8091758619962
1.0,0.1,0.0,46,17.3,36.17710735844339
1.0,0.1,0.0,47,17.6,36.41034290958154
1.0,0.1,0.0,48,17.7,36.467875711633255
1.0,0.1,0.0,49,19.9,41.303479219731614
1.0,0.1,0.0,50,20.3,41.775368672253926
1.0,0.1,0.02,0,1.0,0.0
1.0,0.1,0.02,1,0.8,1.0069247144399625
1.0,0.1,0.02,2,0.9,1.4128377358910726
1.0,0.1,0.02,3,1.1,2.0783708279286675
1.0,0.1,0.02,4,1.3,2.477133714303081
1.0,0.1,0.02,5,0.9,1.9741246304347304
1.0,0.1,0.02,6,1.2,2.4664517597755684
1.0,0.1,0.02,7,1.8,3.699677639663353
1.0,0.1,0.02,8,1.6,3.3205623038095893
1.0,0.1,0.02,9,1.9,5.208869009752491
1.0,0.1,0.02,10,1.1,3.0641658246796784
1.0,0.1,0.02,11,0.3,0.9249194099158382
1.0,0.1,0.02,12,0.4,1.2332258798877842
1.0,0.1,0.02,13,0.5,1.5415323498597304
1.0,0.1,0.02,14,0.8,2.4664517597755684
1.0,0.1,0.02,15,0.9,2.774758229747514
1.0,0.1,0.02,16,0.5,1.5415323498597304
1.0,0.1,0.02,17,0.8,2.4664517597755684
1.0,0.1,0.02,18,0.6,1.8498388198316764
1.0,0.1,0.02,19,0.3,0.9249194099158382
1.0,0.1,0.02,20,0.5,1.5415323498597304
1.0,0.1,0.02,21,0.4,1.2332258798877842
1.0,0.1,0.02,22,0.2,0.6166129399438921
1.0,0.1,0.02,23,0.2,0.6166129399438921
1.0,0.1,0.02,24,0.1,0.30830646997194605
1.0,0.1,0.02,25,0.1,0.30830646997194605
1.0,0.1,0.02,26,0.0,0.0
1.0,0.1,0.02,27,0.0,0.0
1.0,0.1,0.02,28,0.0,0.0
1.0,0.1,0.02,29,0.0,0.0
1.0,0.1,0.02,30,0.0,0.0
1.0,0.1,0.02,31,0.0,0.0
1.0,0.1,0.02,32,0.0,0.0
1.0,0.1,0.02,33,0.0,0.0
1.0,0.1,0.02,34,0.0,0.0
1.0,0.1,0.02,35,0.0,0.0
1.0,0.1,0.02,36,0.0,0.0
1.0,0.1,0.02,37,0.0,0.0
1.0,0.1,0.02,38,0.0,0.0
1.0,0.1,0.02,39,0.0,0.0
1.0,0.1,0.02,40,0.0,0.0
1.0,0.1,0.02,41,0.0,0.0
1.0,0.1,0.02,42,0.0,0.0
1.0,0.1,0.02,43,0.0,0.0
1.0,0.1,0.02,44,0.0,0.0
1.0,0.1,0.02,45,0.0,0.0
1.0,0.1,0.02,46,0.0,0.0
1.0,0.1,0.02,47,0.0,0.0
1.0,0.1,0.02,48,0.0,0.0
1.0,0.1,0.02,49,0.0,0.0
1.0,0.1,0.02,50,0.0,0.0
1.0,0.1,0.04,0,1.0,0.0
1.0,0.1,0.04,1,0.8,0.7690514538404867
1.0,0.1,0.04,2,0.9,0.8536619601870006
1.0,0.1,0.04,3,1.1,1.2544533574676975
1.0,0.1,0.04,4,1.8,2.096080942071815
1.0,0.1,0.04,5,1.4,2.307154361521461
1.0,0.1,0.04,6,1.2,1.9390382804042101
1.0,0.1,0.04,7,1.7,2.9085574206063156
1.0,0.1,0.04,8,1.5,3.290207717391218
1.0,0.1,0.04,9,1.4,3.414647840748003
1.0,0.1,0.04,10,1.2,3.3710680513745066
1.0,0.1,0.04,11,0.7,2.1581452898036226
1.0,0.1,0.04,12,0.5,1.5415323498597304
1.0,0.1,0.04,13,0.5,1.5415323498597304
1.0,0.1,0.04,14,0.3,0.9249194099158382
1.0,0.1,0.04,15,0.4,1.2332258798877842
1.0,0.1,0.04,16,0.6,1.8498388198316764
1.0,0.1,0.04,17,0.3,0.9249194099158382
1.0,0.1,0.04,18,0.3,0.9249194099158382
1.0,0.1,0.04,19,0.2,0.6166129399438921
1.0,0.1,0.04,20,0.0,0.0
1.0,0.1,0.04,21,0.0,0.0
1.0,0.1,0.04,22,0.0,0.0
1.0,0.1,0.04,23,0.0,0.0
1.0,0.1,0.04,24,0.0,0.0
1.0,0.1,0.04,25,0.0,0.0
1.0,0.1,0.04,26,0.0,0.0
1.0,0.1,0.04,27,0.0,0.0
1.0,0.1,0.04,28,0.0,0.0
1.0,0.1,0.04,29,0.0,0.0
1.0,0.1,0.04,30,0.0,0.0
1.0,0.1,0.04,31,0.0,0.0
1.0,0.1,0.04,32,0.0,0.0
1.0,0.1,0.04,33,0.0,0.0
1.0,0.1,0.04,34,0.0,0.0
1.0,0.1,0.04,35,0.0,0.0
1.0,0.1,0.04,36,0.0,0.0
1.0,0.1,0.04,37,0.0,0.0
1.0,0.1,0.04,38,0.0,0.0
1.0,0.1,0.04,39,0.0,0.0
1.0,0.1,0.04,40,0.0,0.0
1.0,0.1,0.04,41,0.0,0.0
1.0,0.1,0.04,42,0.0,0.0
1.0,0.1,0.04,43,0.0,0.0
1.0,0.1,0.04,44,0.0,0.0
1.0,0.1,0.04,45,0.0,0.0
1.0,0.1,0.04,46,0.0,0.0
1.0,0.1,0.04,47,0.0,0.0
1.0,0.1,0.04,48,0.0,0.0
1.0,0.1,0.04,49,0.0,0.0
1.0,0.1,0.04,50,0.0,0.0
1.0,0.1,0.06,0,1.0,0.0
1.0,0.1,0.06,1,0.7,0.4709459119636909
1.0,0.1,0.06,2,1.2,1.5103870716599435
1.0,0.1,0.06,3,1.0,1.2999342166368777
1.0,0.1,0.06,4,1.7,2.681852819092905
1.0,0.1,0.06,5,1.1,1.8065110555004393
1.0,0.1,0.06,6,0.9,1.2544533574676975
1.0,0.1,0.06,7,1.5,2.2632485630144514
1.0,0.1,0.06,8,0.7,1.3039901834871033
1.0,0.1,0.06,9,0.7,1.1304570565638024
1.0,0.1,0.06,10,0.4,0.9418918239273817
1.0,0.1,0.06,11,0.2,0.4110752932959281
1.0,0.1,0.06,12,0.2,0.6166129399438921
1.0,0.1,0.06,13,0.1,0.30830646997194605
1.0,0.1,0.06,14,0.0,0.0
1.0,0.1,0.06,15,0.0,0.0
1.0,0.1,0.06,16,0.0,0.0
1.0,0.1,0.06,17,0.0,0.0
1.0,0.1,0.06,18,0.0,0.0
1.0,0.1,0.06,19,0.0,0.0
1.0,0.1,0.06,20,0.0,0.0
1.0,0.1,0.06,21,0.0,0.0
1.0,0.1,0.06,22,0.0,0.0
