seedResourceAcquisitionFitness,seedResilience,seedMutationProbability,trials,seedSurvivalChance,error
1.0,0.0,0.0,9,0.0,0.0
1.0,0.0,0.02,10,0.0,0.0
1.0,0.0,0.04,10,0.0,0.0
1.0,0.0,0.06,10,0.0,0.0
1.0,0.0,0.08,10,0.0,0.0
1.0,0.0,0.1,10,0.0,0.0
1.0,0.1,0.0,10,0.0,0.0
1.0,0.1,0.02,10,0.0,0.0
1.0,0.1,0.04,10,0.0,0.0
1.0,0.1,0.06,10,0.0,0.0
1.0,0.1,0.08,10,0.0,0.0
1.0,0.1,0.1,10,0.0,0.0
1.0,0.2,0.0,9,0.0,0.0
1.0,0.2,0.02,10,0.0,0.0
1.0,0.2,0.04,9,0.0,0.0
1.0,0.2,0.06,10,0.0,0.0
1.0,0.2,0.08,10,0.0,0.0
1.0,0.2,0.1,10,0.0,0.0
1.0,0.3,0.0,9,0.0,0.0
1.0,0.3,0.02,10,0.0,0.0
1.0,0.3,0.04,9,0.0,0.0
1.0,0.3,0.06,10,0.0,0.0
1.0,0.3,0.08,10,0.0,0.0
1.0,0.3,0.1,10,0.0,0.0
1.0,0.4,0.0,10,0.0,0.0
1.0,0.4,0.02,8,0.0,0.0
1.0,0.4,0.04,9,0.0,0.0
1.0,0.4,0.06,8,0.0,0.0
1.0,0.4,0.08,10,0.0,0.0
1.0,0.4,0.1,9,0.0,0.0
1.0,0.5,0.0,8,0.0,0.0
1.0,0.5,0.02,9,0.1111111111111111,0.3514988348878925
1.0,0.5,0.04,10,0.0,0.0
1.0,0.5,0.06,6,0.0,0.0
1.0,0.5,0.08,9,0.0,0.0
1.0,0.5,0.1,10,0.0,0.0
1.0,0.6,0.0,9,0.0,0.0
1.0,0.6,0.02,9,0.1111111111111111,0.3514988348878925
1.0,0.6,0.04,10,0.0,0.0
1.0,0.6,0.06,10,0.0,0.0
1.0,0.6,0.08,9,0.0,0.0
1.0,0.6,0.1,10,0.0,0.0
1.0,0.7,0.0,9,0.1111111111111111,0.3514988348878925
1.0,0.7,0.02,8,0.0,0.0
1.0,0.7,0.04,9,0.1111111111111111,0.3514988348878925
1.0,0.7,0.06,10,0.1,0.30830646997194605
1.0,0.7,0.08,10,0.0,0.0
1.0,0.7,0.1,9,0.0,0.0
1.0,0.8,0.0,8,0.625,0.5989831067446593
1.0,0.8,0.02,10,0.1,0.30830646997194605
1.0,0.8,0.04,8,0.0,0.0
1.0,0.8,0.06,9,0.0,0.0
1.0,0.8,0.08,10,0.0,0.0
1.0,0.8,0.1,8,0.0,0.0
1.0,0.9,0.0,10,0.3,0.47094591196369084
1.0,0.9,0.02,8,0.0,0.0
1.0,0.9,0.04,10,0.2,0.4110752932959281
1.0,0.9,0.06,10,0.2,0.4110752932959281
1.0,0.9,0.08,9,0.0,0.0
1.0,0.9,0.1,8,0.0,0.0
1.0,1.0,0.0,10,0.0,0.0
1.0,1.0,0.02,10,0.2,0.4110752932959281
1.0,1.0,0.04,10,0.4,0.5034623572199812
